rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported
rg01_theta12p490_foil0	0	3	8	4	674	340	135	111	85	0
rg01_theta12p490_foil0	0	3	8	5	1047	378	210	177	272	0
rg01_theta12p490_foil0	0	3	8	6	364	174	73	58	44	0
rg01_theta12p490_foil0	0	3	8	7	2	0	1	0	0	2
rg01_theta12p490_foil0	0	4	0	2	54	28	11	9	7	0
rg01_theta12p490_foil0	0	4	0	3	284	145	57	43	37	0
rg01_theta12p490_foil0	0	4	0	4	447	223	90	67	56	0
rg01_theta12p490_foil0	0	4	0	5	701	355	141	109	89	0
rg01_theta12p490_foil0	0	4	0	6	23	0	5	0	0	23
rg01_theta12p490_foil0	0	4	1	1	1	0	1	0	0	1
rg01_theta12p490_foil0	0	4	1	2	268	135	54	43	34	0
rg01_theta12p490_foil0	0	4	1	3	436	217	88	70	55	0
rg01_theta12p490_foil0	0	4	1	4	651	331	131	98	83	0
rg01_theta12p490_foil0	0	4	1	5	1004	378	201	158	253	0
rg01_theta12p490_foil0	0	4	1	6	1384	378	277	223	492	0
rg01_theta12p490_foil0	0	4	1	7	3	0	1	0	0	3
rg01_theta12p490_foil0	0	4	2	1	105	50	21	16	13	0
rg01_theta12p490_foil0	0	4	2	2	313	156	63	45	40	0
rg01_theta12p490_foil0	0	4	2	3	7	0	2	0	0	7
rg01_theta12p490_foil0	0	4	2	4	866	378	174	142	158	0
rg01_theta12p490_foil0	0	4	2	5	1195	378	239	190	376	0
rg01_theta12p490_foil0	0	4	2	6	1837	378	368	280	772	0
rg01_theta12p490_foil0	0	4	2	7	1013	378	203	160	281	0
rg01_theta12p490_foil0	0	4	3	1	192	93	39	34	24	0
rg01_theta12p490_foil0	0	4	3	2	380	183	76	63	46	0
rg01_theta12p490_foil0	0	4	3	3	652	321	131	91	81	0
rg01_theta12p490_foil0	0	4	3	4	1014	378	203	167	251	0
rg01_theta12p490_foil0	0	4	3	5	1481	378	297	233	545	0
rg01_theta12p490_foil0	0	4	3	6	2131	378	427	324	968	0
rg01_theta12p490_foil0	0	4	3	7	2213	378	443	348	1052	0
rg01_theta12p490_foil0	0	4	4	1	187	80	38	32	21	0
rg01_theta12p490_foil0	0	4	4	2	419	206	84	68	52	0
rg01_theta12p490_foil0	0	4	4	3	677	334	136	97	84	0
rg01_theta12p490_foil0	0	4	4	4	284	149	57	46	38	0
rg01_theta12p490_foil0	0	4	4	5	1629	378	326	257	639	0
rg01_theta12p490_foil0	0	4	4	6	2364	378	473	366	1102	0
rg01_theta12p490_foil0	0	4	4	7	2482	378	497	378	1205	0
rg01_theta12p490_foil0	0	4	5	1	185	94	37	26	24	0
rg01_theta12p490_foil0	0	4	5	2	343	176	69	51	45	0
rg01_theta12p490_foil0	0	4	5	3	611	309	123	97	78	0
rg01_theta12p490_foil0	0	4	5	4	1009	378	202	159	227	0
rg01_theta12p490_foil0	0	4	5	5	13	0	3	0	0	13
rg01_theta12p490_foil0	0	4	5	6	2060	378	412	331	914	0
rg01_theta12p490_foil0	0	4	5	7	1982	378	397	336	889	0
rg01_theta12p490_foil0	0	4	6	1	103	51	21	17	13	0
rg01_theta12p490_foil0	0	4	6	2	301	152	61	48	38	0
rg01_theta12p490_foil0	0	4	6	3	490	255	98	75	64	0
rg01_theta12p490_foil0	0	4	6	4	793	378	159	125	119	0
rg01_theta12p490_foil0	0	4	6	5	1213	378	243	185	366	0
rg01_theta12p490_foil0	0	4	6	6	1784	378	357	286	725	0
rg01_theta12p490_foil0	0	4	6	7	882	378	177	141	172	0
rg01_theta12p490_foil0	0	4	7	2	151	77	31	22	20	0
rg01_theta12p490_foil0	0	4	7	3	362	182	73	55	46	0
rg01_theta12p490_foil0	0	4	7	4	561	284	113	93	72	0
rg01_theta12p490_foil0	0	4	7	5	982	378	197	153	238	0
rg01_theta12p490_foil0	0	4	7	6	1491	378	299	256	574	0
rg01_theta12p490_foil0	0	4	7	7	4	0	1	0	0	4
rg01_theta12p490_foil0	0	4	8	1	1	0	1	0	0	1
rg01_theta12p490_foil0	0	4	8	2	9	0	2	0	0	9
rg01_theta12p490_foil0	0	4	8	3	230	104	46	32	27	0
rg01_theta12p490_foil0	0	4	8	4	396	186	80	62	47	0
rg01_theta12p490_foil0	0	4	8	5	686	319	138	102	80	0
