model	pool	target	rms_gain_percent	low95	high95	clusters	replicates
half_surplus_squared_full	shoulder	yptar	0.041059191697412345	-0.6843814019526817	0.6772076353340395	2459	500
half_surplus_huber_full	shoulder	xptar	-0.29444745412696705	-0.4796611823321345	-0.12696583009207354	2459	500
half_surplus_huber_full	shoulder	ytar	0.5248826922396699	0.11286355572091761	0.9433238095291948	2459	500
half_surplus_huber_full	shoulder	yptar	-0.04671182549511599	-0.8665442802338602	0.7003094908160616	2459	500
all_core_squared_full	shoulder	xptar	-0.5455218387151461	-0.7702531970577159	-0.35256036845626293	2459	500
all_core_squared_full	shoulder	ytar	0.7666334528594887	0.32573611697497123	1.1968168314465062	2459	500
all_core_squared_full	shoulder	yptar	0.10857563206190246	-0.9117038929863136	1.0206460299500515	2459	500
all_core_huber_full	shoulder	xptar	-0.5172393603571024	-0.7340056186809163	-0.3232830483501259	2459	500
all_core_huber_full	shoulder	ytar	0.4182893420467071	-0.053260660500784034	0.8728109806609177	2459	500
all_core_huber_full	shoulder	yptar	0.020605031068132718	-1.1105000248545138	1.0626224633171921	2459	500
half_shoulders_squared_full	shoulder	xptar	2.8714918061028216	2.089068467744856	3.6872240917529706	2459	500
half_shoulders_squared_full	shoulder	ytar	1.4610312114604063	1.0804467852135835	1.8967392244786767	2459	500
half_shoulders_squared_full	shoulder	yptar	2.305840881160548	1.374943501944651	3.3642801159397457	2459	500
half_shoulders_huber_full	shoulder	xptar	1.0738073113685798	0.644380916007751	1.4775804536836148	2459	500
half_shoulders_huber_full	shoulder	ytar	1.1789310192997227	0.7853481921228809	1.6223101266426494	2459	500
half_shoulders_huber_full	shoulder	yptar	1.1718584073497351	0.1856899642845242	2.1983458213331417	2459	500
all_supported_squared_full	shoulder	xptar	4.224286396537558	3.0615541501840378	5.451292434476624	2459	500
all_supported_squared_full	shoulder	ytar	1.75593011857883	1.3616174032478245	2.1849849417269698	2459	500
all_supported_squared_full	shoulder	yptar	3.103996392839048	2.074059960316214	4.256239455114965	2459	500
all_supported_huber_full	shoulder	xptar	2.4120853690851263	1.7767822899048138	3.0800848620499286	2459	500
all_supported_huber_full	shoulder	ytar	1.5276321674454585	1.142838029966514	1.9760059146711828	2459	500
all_supported_huber_full	shoulder	yptar	2.1153837045703394	1.0730390738503088	3.301178688443933	2459	500
balanced_squared_enet_basis	shoulder	xptar	-0.3698323528115388	-1.017658144457058	0.20237261749721114	2459	500
balanced_squared_enet_basis	shoulder	ytar	-0.11014872499310879	-0.5731226395097988	0.353806452859743	2459	500
balanced_squared_enet_basis	shoulder	yptar	0.007871837077466637	-0.5531128613862801	0.5802101899019186	2459	500
all_core_squared_enet_basis	shoulder	xptar	-0.9763002871846282	-1.635896241471535	-0.38756446865624156	2459	500
all_core_squared_enet_basis	shoulder	ytar	0.4529779223109043	-0.07291598531946163	0.9425013015027878	2459	500
