model	pool	group_kind	group	target	n	bias	spread	rms	width68	p95
all_supported_huber_enet_basis	shoulder	foil_delta	0:0	yptar	1375	0.05319527954941015	1.3367261185158135	1.337784158109481	1.2724781664484306	2.4871951973399993
all_supported_huber_enet_basis	shoulder	foil_delta	0:1	xptar	1888	-0.382821785327269	4.991200460828432	5.005860021963771	4.4112251264418125	9.462225711368903
all_supported_huber_enet_basis	shoulder	foil_delta	0:1	ytar	1888	-0.01590004932159838	0.17817592244369737	0.1788839593342335	0.19759861724015026	0.3178724365327515
all_supported_huber_enet_basis	shoulder	foil_delta	0:1	yptar	1888	0.052074181460517725	1.3999385119555277	1.4009066912649963	1.457560834594164	2.6599588261654126
all_supported_huber_enet_basis	shoulder	foil_delta	0:2	xptar	2969	-0.10260879264371195	3.7706443844816873	3.772040248797868	3.5174827002106186	6.93097141320399
all_supported_huber_enet_basis	shoulder	foil_delta	0:2	ytar	2969	-0.0027394582152365688	0.12167631481188669	0.12170714941002594	0.12911651008968894	0.2255498824535449
all_supported_huber_enet_basis	shoulder	foil_delta	0:2	yptar	2969	0.0036943090648720723	1.6609544231479263	1.6609585315997892	1.755110948555601	3.0900683889370693
all_supported_huber_enet_basis	shoulder	foil_delta	0:3	xptar	2841	0.04079829896611466	3.028275217903827	3.02855003203992	2.9196999061174562	5.723604054016767
all_supported_huber_enet_basis	shoulder	foil_delta	0:3	ytar	2841	0.004065720506466034	0.10614760035395655	0.1062254354857629	0.11576468523508715	0.19074892811271482
all_supported_huber_enet_basis	shoulder	foil_delta	0:3	yptar	2841	0.009747221030504532	1.7717635259446483	1.7717903375359143	1.8359338842653763	3.2778630582619948
all_supported_huber_enet_basis	shoulder	foil_delta	0:4	xptar	1968	0.06066223749154956	2.5159608642181026	2.5166920704239093	2.4365119305939666	4.341171107952181
all_supported_huber_enet_basis	shoulder	foil_delta	0:4	ytar	1968	0.0047744373137225795	0.17051852690315306	0.17058535479015777	0.1936627938580369	0.2838042540369951
all_supported_huber_enet_basis	shoulder	foil_delta	0:4	yptar	1968	-0.058081074090995	1.2976023127888217	1.2989015256448282	1.3518041535808425	2.2126239839557695
all_supported_huber_enet_basis	shoulder	foil	3	xptar	1785	-1.058108230167609	4.132680386037449	4.265986427531979	3.657298740567004	8.907325873489322
all_supported_huber_enet_basis	shoulder	foil	3	ytar	1785	-0.01281150743714526	0.15732850076498317	0.15784926948126604	0.16561351928244428	0.2985781930834873
all_supported_huber_enet_basis	shoulder	foil	3	yptar	1785	-0.1277445924622431	1.7733359291480277	1.7779311006084133	1.7753938194550094	3.2593215204005483
all_supported_huber_enet_basis	shoulder	foil_delta	3:0	xptar	255	-0.7305142277293463	6.463412336633362	6.5045637878538285	6.226019029535452	12.04589800345999
all_supported_huber_enet_basis	shoulder	foil_delta	3:0	ytar	255	-0.04430497709227984	0.1839714213413563	0.18923111495075617	0.19420858954929693	0.33599030096637816
all_supported_huber_enet_basis	shoulder	foil_delta	3:0	yptar	255	0.34795614218012066	1.5101767105597996	1.5497442285738925	1.497343033691799	3.0313479810426665
all_supported_huber_enet_basis	shoulder	foil_delta	3:1	xptar	323	-1.2758938925331187	4.691590794820841	4.8619882158486325	4.523260632835916	8.30167859392647
all_supported_huber_enet_basis	shoulder	foil_delta	3:1	ytar	323	-0.006173597281174347	0.19987724314822902	0.19997256219773352	0.22201749184219716	0.3619178936149272
all_supported_huber_enet_basis	shoulder	foil_delta	3:1	yptar	323	-0.05751910054883285	1.52736182930164	1.5284445048923427	1.5513532383022648	2.9435306458054633
all_supported_huber_enet_basis	shoulder	foil_delta	3:2	xptar	480	-1.2518953946515556	3.7174502625779433	3.922585694907199	3.4489695040083888	7.85054626989725
all_supported_huber_enet_basis	shoulder	foil_delta	3:2	ytar	480	0.011483696842902872	0.135692972451562	0.13617803811892742	0.14792196282522269	0.24613802672901602
all_supported_huber_enet_basis	shoulder	foil_delta	3:2	yptar	480	-0.3773041860101454	1.8415313772366944	1.8797862277738007	1.8497142641531612	3.372405627047694
all_supported_huber_enet_basis	shoulder	foil_delta	3:3	xptar	485	-0.9608560544530331	2.842531774570455	3.0005384928078676	2.536639046842798	5.412163483129577
all_supported_huber_enet_basis	shoulder	foil_delta	3:3	ytar	485	-0.01255759425897308	0.11850212663034469	0.11916562922876395	0.12396372206273285	0.22614771707982928
all_supported_huber_enet_basis	shoulder	foil_delta	3:3	yptar	485	-0.12922857226774967	2.0017573711538414	2.0059243746609936	2.029419403786577	3.6588181270742397
all_supported_huber_enet_basis	shoulder	foil_delta	3:4	xptar	242	-0.923154378708816	2.9471275050167263	3.0883287612809895	2.4522230008237123	6.4482380482171235
all_supported_huber_enet_basis	shoulder	foil_delta	3:4	ytar	242	-0.03718364034688038	0.16141173261967448	0.16563927836335027	0.1797285212036365	0.28418859154407305
all_supported_huber_enet_basis	shoulder	foil_delta	3:4	yptar	242	-0.22476189045055053	1.5949084442469597	1.6106678282405602	1.432692979443026	2.584427778167062
all_supported_huber_enet_basis	shoulder	foil	8	xptar	3230	-0.2835682447536856	4.197185358463819	4.206753603758573	3.581780236390272	8.712660800390601
all_supported_huber_enet_basis	shoulder	foil	8	ytar	3230	-0.035849174776448604	0.18566484995044935	0.18909415601566124	0.18387760215517407	0.37862476567490083
all_supported_huber_enet_basis	shoulder	foil	8	yptar	3230	0.2063653999013361	1.7991986290015793	1.8109948605331825	1.7625729996468285	3.261523741326665
all_supported_huber_enet_basis	shoulder	foil_delta	8:0	xptar	513	0.5660927357198878	5.969669384154613	5.996450078300305	5.566414039605482	12.784921712427806
all_supported_huber_enet_basis	shoulder	foil_delta	8:0	ytar	513	-0.05540630876086486	0.2498344913429168	0.25590453711311617	0.2667974958798714	0.4728245313511565
all_supported_huber_enet_basis	shoulder	foil_delta	8:0	yptar	513	0.39464047262507196	1.5499955036764503	1.5994458928175572	1.5231403610961651	3.1927743481226756
all_supported_huber_enet_basis	shoulder	foil_delta	8:1	xptar	628	-0.49579743002763904	4.815171424040728	4.840629187876347	4.375906970979064	9.403597435140114
all_supported_huber_enet_basis	shoulder	foil_delta	8:1	ytar	628	-0.057502735560090876	0.22177115348448637	0.2291047994144456	0.24173233104562147	0.4245612290962561
all_supported_huber_enet_basis	shoulder	foil_delta	8:1	yptar	628	0.3317923311851613	1.6960292054781516	1.7281785836157484	1.6235234414956354	3.201127045374193
all_supported_huber_enet_basis	shoulder	foil_delta	8:2	xptar	844	-0.7100999416970307	3.9788984456895253	4.0417662931333185	3.52822608495003	7.620498573345306
all_supported_huber_enet_basis	shoulder	foil_delta	8:2	ytar	844	-0.025390322674022626	0.15025723950821793	0.15238735679222523	0.1426069743730793	0.3016249810211086
all_supported_huber_enet_basis	shoulder	foil_delta	8:2	yptar	844	0.21622576238239385	1.9214882515154217	1.9336159600679863	2.0176111806039367	3.5685854696837502
all_supported_huber_enet_basis	shoulder	foil_delta	8:3	xptar	749	-0.2957809243030575	3.0784405251012394	3.092617406302818	2.8479794376118592	6.084550991463788
all_supported_huber_enet_basis	shoulder	foil_delta	8:3	ytar	749	-0.015090631122726557	0.12783269235265682	0.12872033398733554	0.12522142687036747	0.2537688058024161
all_supported_huber_enet_basis	shoulder	foil_delta	8:3	yptar	749	0.1340979488193812	2.0775876796889454	2.081910859444482	1.943295331561611	3.479708549535952
all_supported_huber_enet_basis	shoulder	foil_delta	8:4	xptar	496	-0.14940716698803527	2.474520664083413	2.4790270306156823	2.3197990881499653	4.542923594326907
all_supported_huber_enet_basis	shoulder	foil_delta	8:4	ytar	496	-0.03734952652030435	0.18091665067705145	0.1847317558610137	0.19489162786500208	0.3289950578624739
all_supported_huber_enet_basis	shoulder	foil_delta	8:4	yptar	496	-0.05481816910500941	1.421291854811808	1.4223486099470886	1.5286072299956839	2.457997701845746
all_supported_huber_enet_basis	supported	overall	all	xptar	100396	-0.037268901337972796	2.433826098462823	2.434111428954251	1.8662252920967313	4.534866817394125
all_supported_huber_enet_basis	supported	overall	all	ytar	100396	-0.0005403365053142359	0.14321539809271944	0.14321641740525098	0.13861954706613586	0.28211822088046995
all_supported_huber_enet_basis	supported	overall	all	yptar	100396	0.00279331669636777	1.203556799137147	1.2035600406159306	1.1578744717788776	2.3205770802515273
all_supported_huber_enet_basis	supported	foil	-8	xptar	18232	-0.023730352100389783	2.7286369541689286	2.7287401410297565	2.004652777528793	5.31985456088742
all_supported_huber_enet_basis	supported	foil	-8	ytar	18232	0.05071997281764183	0.15354775481918434	0.16170784969393007	0.14252722558761627	0.331951654722929
all_supported_huber_enet_basis	supported	foil	-8	yptar	18232	-0.19109631035636312	1.245645928023989	1.260218861085074	1.1681081679972143	2.42615910864544
all_supported_huber_enet_basis	supported	foil_delta	-8:0	xptar	1739	-0.03386115104686623	4.716634651730304	4.716756196312596	4.018773863144105	10.38548915916176
all_supported_huber_enet_basis	supported	foil_delta	-8:0	ytar	1739	0.13029275547648267	0.2279233124219033	0.26253616603246693	0.24330522503457375	0.5074654091259001
all_supported_huber_enet_basis	supported	foil_delta	-8:0	yptar	1739	-0.6045913644333692	1.3593869134221757	1.48777131923252	1.396947321019385	2.7980996789664045
all_supported_huber_enet_basis	supported	foil_delta	-8:1	xptar	3449	-0.07813732964712916	3.692034356469817	3.692861103756528	2.8483654081066057	6.887060267109818
all_supported_huber_enet_basis	supported	foil_delta	-8:1	ytar	3449	0.06837095933808292	0.19518953159347605	0.20681765235223604	0.2016792651628997	0.4014839858399812
all_supported_huber_enet_basis	supported	foil_delta	-8:1	yptar	3449	-0.3129186411816827	1.354092758849787	1.3897788585125397	1.3550981414767391	2.6897425941840107
all_supported_huber_enet_basis	supported	foil_delta	-8:2	xptar	5404	-0.0033927766778569114	2.2466088603543573	2.246611422199284	1.9445385723262034	4.209230290948068
all_supported_huber_enet_basis	supported	foil_delta	-8:2	ytar	5404	0.04070119080722234	0.12267426071783902	0.12924999487734715	0.12150234096382598	0.25512251868287
all_supported_huber_enet_basis	supported	foil_delta	-8:2	yptar	5404	-0.17029483477844673	1.2397767292545723	1.2514178635265614	1.1974581480339368	2.3856235442957314
all_supported_huber_enet_basis	supported	foil_delta	-8:3	xptar	4673	-0.04782502410119977	1.843003459612982	1.8436238729946248	1.6210524533560322	3.6211149525267317
all_supported_huber_enet_basis	supported	foil_delta	-8:3	ytar	4673	0.02696856801139391	0.10231388605255964	0.10580848236205517	0.10393503010758476	0.20663630760859336
all_supported_huber_enet_basis	supported	foil_delta	-8:3	yptar	4673	-0.08593673425221078	1.2709296459212738	1.27383173424731	1.0840433828625722	2.2830932408217244
all_supported_huber_enet_basis	supported	foil_delta	-8:4	xptar	2967	0.046359728655607675	1.5213485028074691	1.5220546939698156	1.383730722889183	2.8831039978768205
all_supported_huber_enet_basis	supported	foil_delta	-8:4	ytar	2967	0.03921895869265968	0.14480407298057224	0.15002115275086855	0.14602573515555176	0.28764057470146137
all_supported_huber_enet_basis	supported	foil_delta	-8:4	yptar	2967	-0.010640885719127925	0.89908595050642	0.8991489169469762	0.8925987749431785	1.7466744646524184
all_supported_huber_enet_basis	supported	foil	-3	xptar	7675	-0.7113182929950185	2.5148404118580485	2.613502632687349	1.8780791461708275	4.882212759371397
all_supported_huber_enet_basis	supported	foil	-3	ytar	7675	-0.05398844568482522	0.13088268491798194	0.1415804699766287	0.130933202178401	0.27875603719648395
all_supported_huber_enet_basis	supported	foil	-3	yptar	7675	0.23807860251416518	1.2102822635181334	1.2334766225436435	1.153135447609524	2.36326682405679
all_supported_huber_enet_basis	supported	foil_delta	-3:0	xptar	712	-1.582441057425202	4.908089852716856	5.156885271417928	3.659272837499806	10.871217304575023
all_supported_huber_enet_basis	supported	foil_delta	-3:0	ytar	712	-0.06451994423393485	0.17608800143747488	0.18753614972637733	0.17817803006000174	0.36244721561757676
all_supported_huber_enet_basis	supported	foil_delta	-3:0	yptar	712	0.27720542506882984	1.2036787172697465	1.2351863430655852	1.2039776632426664	2.3385527273390077
all_supported_huber_enet_basis	supported	foil_delta	-3:1	xptar	1458	-0.7518465527611589	2.838854954391983	2.9367278884797527	2.3446634635752304	5.527081830045967
all_supported_huber_enet_basis	supported	foil_delta	-3:1	ytar	1458	-0.038997073938796936	0.1641021333371634	0.1686721137046552	0.17291478575690897	0.32354014496214956
all_supported_huber_enet_basis	supported	foil_delta	-3:1	yptar	1458	0.14531945271258775	1.2591122518218312	1.2674704754054544	1.2628484561972413	2.4322228400383037
all_supported_huber_enet_basis	supported	foil_delta	-3:2	xptar	2460	-0.5551538763531938	2.0498995112896155	2.123742882934604	1.8544737575847132	4.1026855322357045
all_supported_huber_enet_basis	supported	foil_delta	-3:2	ytar	2460	-0.05245990138770496	0.11762103140208159	0.12878955035909237	0.12135261714691395	0.24461961569662993
all_supported_huber_enet_basis	supported	foil_delta	-3:2	yptar	2460	0.17869427691323958	1.2404284558811074	1.253233577096119	1.2124918144301742	2.388638974058771
all_supported_huber_enet_basis	supported	foil_delta	-3:3	xptar	1941	-0.6677553255025951	1.785770928646166	1.906534810680064	1.5876059691157478	3.598282809614991
all_supported_huber_enet_basis	supported	foil_delta	-3:3	ytar	1941	-0.05956354331089398	0.09417234497831854	0.11142821119655551	0.0978599082222193	0.21375804454365765
all_supported_huber_enet_basis	supported	foil_delta	-3:3	yptar	1941	0.2781060852391707	1.211223453007818	1.2427410220006574	1.1044031357046673	2.38331158274805
all_supported_huber_enet_basis	supported	foil_delta	-3:4	xptar	1104	-0.5205488852308507	1.4941512250704136	1.5822322918252236	1.3112604320924186	2.739592711508379
all_supported_huber_enet_basis	supported	foil_delta	-3:4	ytar	1104	-0.060598905392669	0.12898261857976856	0.14250874790862383	0.13964216313902691	0.2819757747458533
all_supported_huber_enet_basis	supported	foil_delta	-3:4	yptar	1104	0.3972965733120094	1.0482428382111106	1.121007410781191	0.9547595967625166	1.977618176631689
all_supported_huber_enet_basis	supported	foil	0	xptar	51445	0.16402829440497496	2.290515207480789	2.2963808911123973	1.7818064417380708	4.239283852514537
all_supported_huber_enet_basis	supported	foil	0	ytar	51445	2.3469374535070497e-05	0.13094571315679976	0.13094571526000545	0.1321639452726548	0.2562526120873172
all_supported_huber_enet_basis	supported	foil	0	yptar	51445	-0.00261071895196963	1.1384362825873553	1.138439276098977	1.1171310401540042	2.210523263606983
all_supported_huber_enet_basis	supported	foil_delta	0:0	xptar	5051	0.2501552886063653	3.885572056462463	3.8936162977853463	2.9581411440859644	8.34586893555117
all_supported_huber_enet_basis	supported	foil_delta	0:0	ytar	5051	-0.0006455599439397555	0.18436136785550886	0.18436249809870625	0.2039280923783025	0.33080200134787113
all_supported_huber_enet_basis	supported	foil_delta	0:0	yptar	5051	-0.00977699721603324	1.1990454971411166	1.1990853572156361	1.2077063246613737	2.282324878175738
all_supported_huber_enet_basis	supported	foil_delta	0:1	xptar	8847	0.15598591138447943	2.732312895798817	2.73676183930918	2.2474841189761205	4.96898626452486
all_supported_huber_enet_basis	supported	foil_delta	0:1	ytar	8847	-0.012788085546675985	0.16270069116472097	0.16320248171344398	0.1753896179889042	0.3019081401730089
all_supported_huber_enet_basis	supported	foil_delta	0:1	yptar	8847	0.044382912768546126	1.2082009912878733	1.2090159131685654	1.2251369605561724	2.3375430609104266
all_supported_huber_enet_basis	supported	foil_delta	0:2	xptar	15130	0.21360203290248417	2.0654694894153294	2.0764850204529997	1.770256994639035	3.8565995335770453
all_supported_huber_enet_basis	supported	foil_delta	0:2	ytar	15130	0.0006575611928134648	0.11253895992265245	0.11254088095974134	0.11856337493273114	0.2114456884362528
all_supported_huber_enet_basis	supported	foil_delta	0:2	yptar	15130	0.0030998295086167985	1.1842083407485977	1.184212397858395	1.1871083147029933	2.297907251705293
all_supported_huber_enet_basis	supported	foil_delta	0:3	xptar	13229	0.13242034434768923	1.7626003979728553	1.767567625447815	1.5201919569549336	3.3374451600242625
all_supported_huber_enet_basis	supported	foil_delta	0:3	ytar	13229	0.00389277515970211	0.09503661477459717	0.09511630694186553	0.10165446019660182	0.17863757087037715
