rungroup	foil	ndel	xscol	yscol	status	n_dev	n_core_dev	peak_x	peak_y	center_x	center_y	peak_density	background	shift
rg01_theta12p490_foil0	0	0	5	4	accepted	589	441	2.386340044952445	-0.0908999090706204	2.3500399966316667	-0.08066839304545256	3.3786803897060116	0.03021899499453068	0.0009131988816434764
rg01_theta12p490_foil0	0	0	5	5	unstable	48	2	0.5244548680078804	1.5257423569422002	nan	nan	1.4921771407308448	0.022777603077007085	nan
rg01_theta12p490_foil0	0	0	5	6	accepted	945	714	2.4709711893590165	2.9908244105163186	2.4121918778894993	2.9635665023327893	5.458845022732472	0.03770695221976232	0.0071486066372541774
rg01_theta12p490_foil0	0	0	6	2	accepted	188	134	4.417487510710153	-3.122104157844659	4.465263355148925	-3.1490628133315535	0.9387498294297205	0.014853927892933157	0.018319780635527288
rg01_theta12p490_foil0	0	0	6	3	accepted	347	264	4.586749799523293	-1.6065020334576396	4.625929603142401	-1.625414279895496	1.955329496612488	0.025269848807926334	0.012330624979241768
rg01_theta12p490_foil0	0	0	6	4	accepted	478	351	4.840643232743007	-0.0908999090706204	4.811164637061121	-0.06771800387533213	2.583672807214073	0.03777729837692289	0.0042313687502162295
rg01_theta12p490_foil0	0	0	6	5	accepted	602	476	4.925274377149578	1.4247022153163986	4.893446034053061	1.4441692135110433	3.527464670337139	0.035317247014428996	0.006275565446243021
rg01_theta12p490_foil0	0	0	6	6	accepted	808	584	4.925274377149578	2.940304339703418	4.885299841566056	2.9569361069080875	4.546153862283086	0.05465308706523882	0.0035562771885846553
rg01_theta12p490_foil0	0	0	7	2	accepted	100	73	7.041052987313858	-3.122104157844659	7.003725416106964	-3.087479623963693	0.5996894216379802	0.0101495344920592	0.008865997889793463
rg01_theta12p490_foil0	0	0	7	3	accepted	202	160	6.956421842907285	-1.6065020334576396	6.9384062281513765	-1.6258368514464534	1.25278063241285	0.018731047473727447	0.0107914114312233
rg01_theta12p490_foil0	0	0	7	4	accepted	334	267	7.210315276126998	-0.0908999090706204	7.19505747949612	-0.06668456112965516	1.9401786903440967	0.028455071906831775	0.004267926690217735
rg01_theta12p490_foil0	0	0	7	5	accepted	380	289	7.294946420533571	1.4247022153163986	7.26852493994314	1.437030733822302	2.2899538855033676	0.03834647349188794	0.005008882389524912
rg01_theta12p490_foil0	0	0	7	6	accepted	496	376	7.210315276126998	2.940304339703418	7.24945578611613	2.9585241267833227	3.068637730246946	0.039729859338999855	0.004138286034425739
rg01_theta12p490_foil0	0	0	8	2	accepted	50	39	9.241462741884707	-3.071584087031759	9.203574587263471	-3.079916631090336	0.301871950617414	0.003682079781115477	0.019037630695826
rg01_theta12p490_foil0	0	0	8	3	accepted	104	88	9.241462741884707	-1.5559819626447389	9.213384913275435	-1.563091728443497	0.6347484553720508	0.008284843273340423	0.00922556921945986
rg01_theta12p490_foil0	0	0	8	4	accepted	165	128	9.410725030697847	-0.0908999090706204	9.382885417445294	-0.09426213611367054	1.05352311784641	0.01066831750209152	0.009186669927908982
rg01_theta12p490_foil0	0	0	8	5	accepted	255	186	9.579987319510991	1.4247022153163986	9.523881740466486	1.4066352302917853	1.5235685352266142	0.015611104020190489	0.024883309500465738
rg01_theta12p490_foil0	0	0	8	6	accepted	278	197	9.579987319510991	2.940304339703418	9.58905567912955	2.920062957067635	1.6166919913502107	0.008423529802285628	0.0023097504971145467
rg01_theta12p490_foil0	0	1	0	2	accepted	203	159	-10.281325677492037	-3.147136800609676	-10.261003481650878	-3.169288992726311	1.320983873825758	0.010210282129497001	0.007543312586621761
rg01_theta12p490_foil0	0	1	0	3	accepted	337	255	-10.19692612160045	-1.6354243474233592	-10.219860326331647	-1.6609740114005775	1.9497260643985732	0.025879901648677303	0.014198058588791649
rg01_theta12p490_foil0	0	1	0	4	accepted	519	392	-10.19692612160045	-0.12371189423704267	-10.209464056560643	-0.12203803079581743	3.064156294139463	0.03530771541265583	0.005300265884335339
rg01_theta12p490_foil0	0	1	0	5	accepted	600	448	-10.365725233383625	1.4383909740554846	-10.345015460043205	1.4432235295960196	3.2080482992869497	0.03469943251999594	0.009457128242362299
rg01_theta12p490_foil0	0	1	0	6	accepted	205	140	-10.703323456949978	2.9501034272418014	-10.66488764734461	2.9693766347764705	1.055156415087985	0.020459228164285838	0.012027196151089554
rg01_theta12p490_foil0	0	1	0	7	low_stats	1	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	1	1	1	low_stats	0	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	1	1	2	accepted	324	240	-7.91813811252757	-3.147136800609676	-7.931557823900563	-3.1612766101454377	1.9895467857773315	0.02144469925633697	0.0021778911732468205
rg01_theta12p490_foil0	0	1	1	3	accepted	514	385	-8.002537668419158	-1.6354243474233592	-7.981519313738251	-1.6239293542073383	3.1147129298310356	0.030149169808629826	0.0012570375850728657
rg01_theta12p490_foil0	0	1	1	4	accepted	726	534	-8.002537668419158	-0.12371189423704267	-8.005992828097279	-0.11777226894830935	4.27076474636221	0.05901339382756557	0.0011375799774753404
rg01_theta12p490_foil0	0	1	1	5	accepted	874	638	-8.002537668419158	1.4383909740554846	-7.987872482831014	1.4216533559282367	4.546813338663662	0.06057746193595683	0.00964720692849497
rg01_theta12p490_foil0	0	1	1	6	accepted	659	484	-7.91813811252757	3.0508842574542223	-7.915965488263595	3.026903762575146	3.7446396532125665	0.0354750005831421	0.002333882314363561
rg01_theta12p490_foil0	0	1	1	7	low_stats	2	0	nan	nan	nan	nan	nan	nan	nan
rg01_theta12p490_foil0	0	1	2	1	accepted	26	16	-5.30175187988834	-4.50767800847736	-5.318843146929221	-4.473675768129218	0.1547453997395953	0.00159715151396108	0.008261341421754876
rg01_theta12p490_foil0	0	1	2	2	accepted	407	313	-5.470550991671516	-3.147136800609676	-5.486451089517549	-3.1347216738962067	2.6719588165126	0.01698427462741863	0.006629925940482968
rg01_theta12p490_foil0	0	1	2	3	unstable	27	1	-3.698160317948166	-1.5850339323171487	nan	nan	1.3804173683033008	0.02123182792963356	nan
rg01_theta12p490_foil0	0	1	2	4	accepted	872	687	-5.470550991671516	-0.07332147913083184	-5.478895621333598	-0.09317349486688876	5.314304286652544	0.049411988908309196	0.0019324769015096992
