pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	qa_low	n	bias	spread	rms	median	p90
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	svd	xptar	False	15	-1.350371531040999	2.8026674891838907	3.1110204638951418	2.4104275136549136	4.5687938416466745
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	svd	ytar	False	15	0.007984699424372356	0.16927582666832933	0.16946404019479722	0.12916308691399772	0.275789115976377
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	svd	yptar	False	15	-0.3382689393766244	0.9735540234250207	1.0306470355432222	0.7535023486210362	1.5897046954333334
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	svd	ztar	False	15	0.0435468203881103	0.756349649415891	0.7576022160325665	0.5971072994446001	1.2440118657685548
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	start	xptar	False	15	-1.367263422577681	2.778201933492067	3.096419747059157	2.3135579814312637	4.899358765622063
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	start	ytar	False	15	0.028053494027771138	0.15630630735658538	0.15880384203984968	0.14261756532708766	0.24953971644532674
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	start	yptar	False	15	-0.27223225862663275	0.9240100176112683	0.9632782128144155	0.8868352248395956	1.4448788954989713
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	start	ztar	False	15	0.1284315306222019	0.6986492594728204	0.7103558585806707	0.6546676845228934	1.1183399553677043
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	beam	xptar	False	15	-1.239849592028965	2.795930569460085	3.0585053147077885	2.4470610169251943	4.701152881223905
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	beam	ytar	False	15	0.015354979950392426	0.16604465120038378	0.16675311571762033	0.13023785330858184	0.2689422405678185
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	beam	yptar	False	15	-0.40827327978471156	0.9292118146692298	1.0149490960176517	0.6895597191716677	1.5872148076955
development	hole	-8.0	0	rg03_theta12p490_foilpm8	2	1	beam	ztar	False	15	0.07779265996227913	0.7419402857521457	0.7460074299670093	0.6031785489808872	1.2129192809803608
