model	target	group_kind	group	n	raw_share	base_sum	base_share	irls_sum	irls_share	mean_robust_factor	factor_below_half	effective_n
all_core_huber_equalfoil	ytar	foil_quality	3:core	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	54765.905705208235	0.2014024983973822	0.8818617208491794	0.004743303571428571	24634.12550813356
all_core_huber_equalfoil	ytar	foil_quality	8:core	46836	0.15083426458795607	62102.600000000006	0.2	53884.89398725264	0.1981625636454814	0.8676753306182452	0.01972841404048168	45708.42101224541
all_core_huber_equalfoil	yptar	all	all	310513	1.0	310513.0	1.0	271652.20156126516	1.0	0.8748496892602409	0.0061285678860466385	190675.16030646214
all_core_huber_equalfoil	yptar	foil	-8	54299	0.17486868504700287	62102.600000000006	0.2	54313.75074544166	0.19993856274046207	0.874580947423162	0.011013094163796755	53174.56232922833
all_core_huber_equalfoil	yptar	foil	-3	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	54413.57647775835	0.20030603899039842	0.8761883798384985	0.004627447619863747	22895.722512117354
all_core_huber_equalfoil	yptar	foil	0	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	54803.38656804518	0.2017409991639088	0.8824652521479807	0.0028393734739144212	158177.27268451592
all_core_huber_equalfoil	yptar	foil	3	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	54354.86913677211	0.2000899268416699	0.8752430516076963	0.005420918367346939	24602.583783889782
all_core_huber_equalfoil	yptar	foil	8	46836	0.15083426458795607	62102.600000000006	0.2	53766.61863324784	0.19792447226356075	0.8657708152838662	0.012896062857630883	45778.474579080656
all_core_huber_equalfoil	yptar	quality	core	310513	1.0	310513.0	1.0	271652.20156126516	1.0	0.8748496892602409	0.0061285678860466385	190675.16030646214
all_core_huber_equalfoil	yptar	foil_quality	-8:core	54299	0.17486868504700287	62102.600000000006	0.2	54313.75074544166	0.19993856274046207	0.874580947423162	0.011013094163796755	53174.56232922833
all_core_huber_equalfoil	yptar	foil_quality	-3:core	23339	0.07516271460454152	62102.60000000002	0.20000000000000007	54413.57647775835	0.20030603899039842	0.8761883798384985	0.004627447619863747	22895.722512117354
all_core_huber_equalfoil	yptar	foil_quality	0:core	160951	0.5183390067404585	62102.59999999999	0.19999999999999998	54803.38656804518	0.2017409991639088	0.8824652521479807	0.0028393734739144212	158177.27268451592
all_core_huber_equalfoil	yptar	foil_quality	3:core	25088	0.08079532902004102	62102.59999999999	0.19999999999999998	54354.86913677211	0.2000899268416699	0.8752430516076963	0.005420918367346939	24602.583783889782
all_core_huber_equalfoil	yptar	foil_quality	8:core	46836	0.15083426458795607	62102.600000000006	0.2	53766.61863324784	0.19792447226356075	0.8657708152838662	0.012896062857630883	45778.474579080656
all_supported_squared_equalfoil	xptar	all	all	396320	1.0	396319.99999999994	1.0	396319.99999999994	1.0	1.0	0.0	247168.27470386287
all_supported_squared_equalfoil	xptar	foil	-8	71579	0.18060910375454178	79264.0	0.20000000000000004	79264.0	0.20000000000000004	1.0	0.0	71579.00000000793
all_supported_squared_equalfoil	xptar	foil	-3	29866	0.07535829632620104	79264.00000000003	0.2000000000000001	79264.00000000003	0.2000000000000001	1.0	0.0	29866.000000002437
all_supported_squared_equalfoil	xptar	foil	0	204818	0.5167995559144126	79264.0	0.20000000000000004	79264.0	0.20000000000000004	1.0	0.0	204817.9999999216
all_supported_squared_equalfoil	xptar	foil	3	31519	0.07952916834880905	79264.0	0.20000000000000004	79264.0	0.20000000000000004	1.0	0.0	31518.999999998137
all_supported_squared_equalfoil	xptar	foil	8	58538	0.14770387565603552	79264.0	0.20000000000000004	79264.0	0.20000000000000004	1.0	0.0	58538.00000000623
all_supported_squared_equalfoil	xptar	quality	core	310513	0.783490613645539	310867.8658288629	0.7843860159186085	310867.8658288629	0.7843860159186085	1.0	0.0	193426.1064680879
all_supported_squared_equalfoil	xptar	quality	shoulder	85807	0.21650938635446104	85452.13417113712	0.21561398408139162	85452.13417113712	0.21561398408139162	1.0	0.0	53747.048394195335
all_supported_squared_equalfoil	xptar	foil_quality	-8:core	54299	0.13700797335486475	60128.75195238828	0.1517176825605276	60128.75195238828	0.1517176825605276	1.0	0.0	54298.999999996915
all_supported_squared_equalfoil	xptar	foil_quality	-8:shoulder	17280	0.04360113039967703	19135.248047611727	0.04828231743947247	19135.248047611727	0.04828231743947247	1.0	0.0	17280.00000000008
all_supported_squared_equalfoil	xptar	foil_quality	-3:core	23339	0.05888928138877675	61941.421549588165	0.15629143507667587	61941.421549588165	0.15629143507667587	1.0	0.0	23339.00000000085
all_supported_squared_equalfoil	xptar	foil_quality	-3:shoulder	6527	0.016469014937424302	17322.578450411842	0.04370856492332419	17322.578450411842	0.04370856492332419	1.0	0.0	6526.999999999939
all_supported_squared_equalfoil	xptar	foil_quality	0:core	160951	0.40611374646750104	62287.59222333976	0.1571648976164205	62287.59222333976	0.1571648976164205	1.0	0.0	160950.99999994566
all_supported_squared_equalfoil	xptar	foil_quality	0:shoulder	43867	0.11068580944691159	16976.407776660253	0.04283510238357957	16976.407776660253	0.04283510238357957	1.0	0.0	43867.00000000146
all_supported_squared_equalfoil	xptar	foil_quality	3:core	25088	0.06330238191360517	63091.31736412956	0.159192867794029	63091.31736412956	0.159192867794029	1.0	0.0	25087.99999999858
all_supported_squared_equalfoil	xptar	foil_quality	3:shoulder	6431	0.016226786435203876	16172.682635870424	0.040807132205971	16172.682635870424	0.040807132205971	1.0	0.0	6430.999999999913
all_supported_squared_equalfoil	xptar	foil_quality	8:core	46836	0.11817723052079128	63418.78273941712	0.16001913287095562	63418.78273941712	0.16001913287095562	1.0	0.0	46836.0000000021
all_supported_squared_equalfoil	xptar	foil_quality	8:shoulder	11702	0.029526645135244247	15845.217260582867	0.03998086712904438	15845.217260582867	0.03998086712904438	1.0	0.0	11702.000000000153
all_supported_squared_equalfoil	ytar	all	all	396320	1.0	396319.99999999994	1.0	396319.99999999994	1.0	1.0	0.0	247168.27470386287
all_supported_squared_equalfoil	ytar	foil	-8	71579	0.18060910375454178	79264.0	0.20000000000000004	79264.0	0.20000000000000004	1.0	0.0	71579.00000000793
all_supported_squared_equalfoil	ytar	foil	-3	29866	0.07535829632620104	79264.00000000003	0.2000000000000001	79264.00000000003	0.2000000000000001	1.0	0.0	29866.000000002437
all_supported_squared_equalfoil	ytar	foil	0	204818	0.5167995559144126	79264.0	0.20000000000000004	79264.0	0.20000000000000004	1.0	0.0	204817.9999999216
