model	pool	target	n	rms	bias	spread	width68	p95	pooled_rms_gain	macro_rms	macro_gain	improved_cells	cells	worst_cell_gain	within_hole_spread	within_hole_gain	hole_centroid_rms	same_holes_rms	equal_hole_spread	improved_holes	holes	within_hole_events
all_core_squared_equalfoil	shoulder	yptar	22532	1.6517775927423515	-0.031225833938549538	1.6514824138272137	1.6527859656470334	3.0374729969110232	1.4268814431969479	1.6554261320884895	1.5649479039514302	21	25	-2.695612106951484	1.573206680917642	2.311387715788782	0.40404658395761417	1.6242638033557604	1.590764033448688	407	584	14964
all_core_huber_equalfoil	shoulder	yptar	22532	1.651974397865048	-0.030734035256499002	1.6516884785813697	1.6521628846394476	3.0391112934229723	1.4151367054202724	1.656129437111402	1.5231279367370343	21	25	-4.399906395255648	1.5718168916988815	2.397686980720126	0.40428251359013906	1.6229764914578075	1.5895701250964622	403	584	14964
all_supported_squared_equalfoil	shoulder	yptar	22532	1.6157368557937106	-0.037234141726275746	1.6153077743452031	1.6429889115188945	3.017980203917284	3.5776842218050997	1.6191017409851982	3.7248711172564786	21	25	-3.285700563743421	1.5247661390362415	5.31931373853427	0.44862267160572056	1.5893942494642859	1.5307130041096007	379	584	14964
all_supported_huber_equalfoil	shoulder	yptar	22532	1.6217537181914092	-0.03484783377534527	1.621379274244255	1.6404387894329515	3.0225162514785526	3.2186159712886186	1.627918236419307	3.2006241149053816	22	25	-5.764831757405542	1.5338232647603358	4.756909539516807	0.4311663327422777	1.5932727996204792	1.542458013283682	381	584	14964
balanced_squared_full	supported	xptar	100396	2.429914065001307	0.19893701465010308	2.421756888602421	1.8312403098945684	4.471493529601062	0.0	2.7449935126083416	0.0	0	25	0.0	2.261366298627093	0.0	0.7630120510197319	2.3866220745161426	2.4354957367144534	0	1962	96548
all_core_squared_full	supported	xptar	100396	2.4205005958876504	-0.08553363274271328	2.4189888656962237	1.8200017559246466	4.41330168849364	0.38739926029653926	2.777149900891461	-1.1714558936266384	7	25	-5.247752813229711	2.2646429009022313	-0.14489480439889846	0.717753792613684	2.37566369156457	2.4391879497387903	901	1962	96548
all_core_huber_full	supported	xptar	100396	2.4200231009086157	-0.0870405436460554	2.4184573084288985	1.820303136530018	4.416093325826667	0.40704995436479097	2.7752449644665114	-1.102059138545064	8	25	-5.287681961740098	2.26339708853126	-0.08980366893236447	0.7213334746869761	2.3755606416329957	2.4375337279455267	936	1962	96548
all_supported_squared_full	supported	xptar	100396	2.3659862015980617	0.0062052215366122	2.365978064432996	1.8442077888513735	4.43735439376883	2.6308693103190506	2.686065985281174	2.146727380465596	13	25	-4.585123814825254	2.193962023679049	2.98068804638002	0.7788863354636061	2.3281179705757595	2.3451631943467057	1140	1962	96548
all_supported_huber_full	supported	xptar	100396	2.377452259405549	-0.03731186516116423	2.377159454153369	1.8216261943880867	4.405364402641423	2.1589983922221556	2.710709450345102	1.248966968619969	14	25	-4.323560927732006	2.2206020498175425	1.802638026148129	0.7292772426826323	2.337288762722453	2.3827718245107854	1213	1962	96548
all_core_squared_equalfoil	supported	xptar	100396	2.4268992785057013	0.1724887463370817	2.4207618099264856	1.829988590374934	4.452356713622388	0.1240696755094639	2.7402062812662584	0.174398639563067	14	25	-0.8326355230336313	2.2580936101300026	0.14472173301057767	0.763315778604252	2.383618620915721	2.432493579103006	1109	1962	96548
