target	term	svd	start	beam
yptar	01320	True	False	False
yptar	00420	True	True	False
yptar	30030	True	False	False
yptar	21030	True	False	True
yptar	12030	True	False	False
yptar	03030	True	True	True
yptar	20130	True	False	False
yptar	11130	True	False	False
yptar	02130	True	False	False
yptar	10230	True	True	True
yptar	01230	True	True	False
yptar	00330	True	False	True
yptar	20040	True	True	True
yptar	11040	True	False	False
yptar	02040	True	True	True
yptar	10140	True	True	True
yptar	01140	True	False	False
yptar	00240	True	False	False
yptar	10050	True	False	False
yptar	01050	True	False	False
yptar	00150	True	False	False
yptar	00060	True	True	True
