pool	level	zfoil	ndel	rungroup	xscol	yscol	target	alpha	l1	model	n	median	p90	mse	cell_mse
validation	foil_delta	-3.0	1				ytar	3e-05	0.1	full_svd	3059	0.12712628778504992	0.28466371717060257	0.029976342156948062	0.029976342156948062
validation	foil_delta	-3.0	1				ytar	3e-05	0.1	refit_svd	3059	0.12672819916186	0.28273675954542427	0.029713414023996975	0.029713414023996975
validation	foil_delta	-3.0	1				ytar	0.0001	0.5	full_svd	3059	0.12712628778504992	0.28466371717060257	0.029976342156948062	0.029976342156948062
validation	foil_delta	-3.0	1				ytar	0.0001	0.5	refit_svd	3059	0.12574692323057518	0.282540814278025	0.029355725203738497	0.029355725203738497
validation	foil_delta	-3.0	1				ytar	3e-05	0.5	full_svd	3059	0.12712628778504992	0.28466371717060257	0.029976342156948062	0.029976342156948062
validation	foil_delta	-3.0	1				ytar	3e-05	0.5	refit_svd	3059	0.1257731845962262	0.2835478705829812	0.029496721355869268	0.029496721355869268
validation	foil_delta	-3.0	1				yptar	0.0001	0.1	full_svd	3059	0.8515326665582685	2.0270892631134596	1.4713636709869409	1.4713636709869409
validation	foil_delta	-3.0	1				yptar	0.0001	0.1	refit_svd	3059	0.8430939889544977	2.016764026929826	1.457437516153541	1.457437516153541
validation	foil_delta	-3.0	1				yptar	3e-05	0.1	full_svd	3059	0.8515326665582685	2.0270892631134596	1.4713636709869409	1.4713636709869409
validation	foil_delta	-3.0	1				yptar	3e-05	0.1	refit_svd	3059	0.8401331402115653	2.032891132410006	1.460503371876128	1.460503371876128
validation	foil_delta	-3.0	1				yptar	0.0001	0.5	full_svd	3059	0.8515326665582685	2.0270892631134596	1.4713636709869409	1.4713636709869409
validation	foil_delta	-3.0	1				yptar	0.0001	0.5	refit_svd	3059	0.8449183842530773	2.031800192411357	1.4782239690687404	1.4782239690687404
validation	foil_delta	-3.0	1				yptar	3e-05	0.5	full_svd	3059	0.8515326665582685	2.0270892631134596	1.4713636709869409	1.4713636709869409
validation	foil_delta	-3.0	1				yptar	3e-05	0.5	refit_svd	3059	0.8446047247838554	2.0133513556354257	1.4658364529426873	1.4658364529426873
validation	foil_delta	-3.0	2				xptar	0.0001	0.1	full_svd	3891	1.064145566391668	2.460373376402343	2.2534319793792092	2.2534319793792092
validation	foil_delta	-3.0	2				xptar	0.0001	0.1	refit_svd	3891	1.0739807319579686	2.493429041544315	2.344804248446126	2.344804248446126
validation	foil_delta	-3.0	2				xptar	3e-05	0.1	full_svd	3891	1.064145566391668	2.460373376402343	2.2534319793792092	2.2534319793792092
validation	foil_delta	-3.0	2				xptar	3e-05	0.1	refit_svd	3891	1.0739790631846755	2.4857644269477635	2.2912305298345608	2.2912305298345608
validation	foil_delta	-3.0	2				xptar	0.0001	0.5	full_svd	3891	1.064145566391668	2.460373376402343	2.2534319793792092	2.2534319793792092
validation	foil_delta	-3.0	2				xptar	0.0001	0.5	refit_svd	3891	1.1393129827531947	2.6887729893962513	2.6727479578447464	2.6727479578447464
validation	foil_delta	-3.0	2				xptar	3e-05	0.5	full_svd	3891	1.064145566391668	2.460373376402343	2.2534319793792092	2.2534319793792092
validation	foil_delta	-3.0	2				xptar	3e-05	0.5	refit_svd	3891	1.0922855335936872	2.542553835553277	2.4099638903988225	2.4099638903988225
validation	foil_delta	-3.0	2				ytar	0.0001	0.1	full_svd	3891	0.08292204440256724	0.19603265704250336	0.014112030547997036	0.014112030547997036
