target	fold	alpha	l1	budget	iterations	seconds	converged	dual_gap	gap_limit	gap_ratio	objective	kkt_max	active	validation_mse	svd_mse	mse_ratio	validation_rms	prediction_change_rms
xptar	1	0.0001	0.1	20000	20000	0.353632606100291	False	9.777258535413757e-05	1.0000000000000008e-06	97.77258535413749	0.0020292066162211284	2.750059025039106e-06	130	3.5553268706843263e-06	2.790781606130921e-06	1.2739538138254232	1.8855574429553523	
xptar	1	0.0001	0.1	100000	78385	0.9493924351409078	True	9.999387382184137e-07	1.0000000000000008e-06	0.9999387382184128	0.002029083352013081	6.742516579683873e-08	124	3.5594128515592652e-06	2.790781606130921e-06	1.275417912938719	1.8866406259696797	0.010378140217521922
xptar	1	3e-05	0.1	20000	20000	0.3857108852826059	False	0.0008291423748425088	1.0000000000000008e-06	829.142374842508	0.001466812726402898	9.37398964354813e-06	168	3.1838529244421415e-06	2.790781606130921e-06	1.140846319700439	1.7843354293523799	
xptar	1	3e-05	0.1	100000	100000	1.304633338470012	False	9.249207745773744e-05	1.0000000000000008e-06	92.49207745773737	0.0014618176729477748	1.3965965392589565e-06	156	3.1588279304433786e-06	2.790781606130921e-06	1.131879299872092	1.7773091825688008	0.06327536226619777
xptar	1	3e-05	0.1	300000	300000	3.7663386282511055	False	1.2793017593019318e-06	1.0000000000000008e-06	1.2793017593019307	0.0014617527922447372	9.963115616730405e-08	154	3.1592909130353127e-06	2.790781606130921e-06	1.1320451969780916	1.7774394259820256	0.008366476971144765
xptar	1	3e-05	0.1	1000000	346975	4.369843581225723	True	9.999729729770355e-07	1.0000000000000008e-06	0.9999729729770347	0.001461752650929563	3.3555477614603025e-08	154	3.159294676463553e-06	2.790781606130921e-06	1.13204654549932	1.7774404846473912	0.0004675189581838866
xptar	1	0.0001	0.5	20000	20000	0.278463794849813	False	4.0050039414257674e-06	1.0000000000000008e-06	4.005003941425764	0.002313018475029904	7.816995656729665e-07	78	3.89391913123204e-06	2.790781606130921e-06	1.395279058267295	1.9733015814193327	
xptar	1	0.0001	0.5	100000	35145	0.45263517647981644	True	9.99941143260267e-07	1.0000000000000008e-06	0.9999411432602662	0.0023130143191914163	8.69472690025625e-08	76	3.894432089351362e-06	2.790781606130921e-06	1.3954628627320353	1.973431551726931	0.0021347521895030523
xptar	1	3e-05	0.5	20000	20000	0.24218140402808785	False	9.11170953163436e-05	1.0000000000000008e-06	91.11709531634354	0.0016179364815120188	3.852718261877939e-06	99	3.359624988846254e-06	2.790781606130921e-06	1.2038294151952527	1.8329279824494618	
xptar	1	3e-05	0.5	100000	97885	0.8742291717790067	True	9.999899850727438e-07	1.0000000000000008e-06	0.999989985072743	0.0016170456124361796	1.4313784375909537e-07	92	3.3443441271853414e-06	2.790781606130921e-06	1.1983539377779788	1.8287548023683604	0.029970716622262115
ytar	1	0.0001	0.1	20000	20000	0.33296138793230057	False	0.005434806601542916	1.0000000000000033e-06	5434.806601542898	0.011369591720488471	2.4989795379394665e-05	176	2.6189427310874533e-06	2.2872061289065396e-06	1.1450400984801092	0.16183147812114468	
ytar	1	0.0001	0.1	100000	100000	1.4720786311663687	False	0.001584820169393274	1.0000000000000033e-06	1584.8201693932685	0.011355312059616443	5.675004152594698e-06	163	2.61939625145975e-06	2.2872061289065396e-06	1.1452383842255716	0.1618454896331606	0.003668420454704088
ytar	1	0.0001	0.1	300000	300000	3.7800312153995037	False	7.280839513077983e-06	1.0000000000000033e-06	7.280839513077959	0.011354776655083798	1.710244963813e-07	161	2.6193293285001926e-06	2.2872061289065396e-06	1.1452091245280256	0.16184342212460143	0.0006584461957412124
ytar	1	0.0001	0.1	1000000	443078	5.665215955581516	True	9.99961906681844e-07	1.0000000000000033e-06	0.9999619066818407	0.011354775898281905	2.793250613528741e-08	161	2.6193110522487447e-06	2.2872061289065396e-06	1.1452011338833623	0.16184285749605215	2.395724783536003e-05
ytar	1	3e-05	0.1	20000	20000	0.34470077976584435	False	0.007229322545248225	1.0000000000000033e-06	7229.322545248201	0.009025321675796349	3.123458581229398e-05	198	2.447959467234494e-06	2.2872061289065396e-06	1.0702837126467508	0.15645956241899994	
ytar	1	3e-05	0.1	100000	100000	1.4164460743777454	False	0.003614002026024114	1.0000000000000033e-06	3614.002026024102	0.008990806239658217	6.086823292338753e-06	184	2.4290929697966764e-06	2.2872061289065396e-06	1.062035003796518	0.15585547695851681	0.008675664008886454
ytar	1	3e-05	0.1	300000	300000	3.9240533993579447	False	0.000748113611356521	1.0000000000000033e-06	748.1136113565185	0.008987847050609954	1.1794446445048128e-06	179	2.4315591143154133e-06	2.2872061289065396e-06	1.0631132382798771	0.15593457327723745	0.002018147750451941
ytar	1	3e-05	0.1	1000000	1000000	12.516812030225992	False	2.6607805730054766e-06	1.0000000000000033e-06	2.660780573005468	0.008987706755085145	3.186207644471319e-08	178	2.431360909193278e-06	2.2872061289065396e-06	1.0630265800991254	0.15592821775398058	0.00028162607002545076
ytar	1	3e-05	0.1	3000000	1107156	13.881275346037	True	9.999956869264776e-07	1.0000000000000033e-06	0.9999956869264743	0.008987706712810177	1.461894278759001e-08	178	2.4313550888174506e-06	2.2872061289065396e-06	1.0630240353456142	0.15592803111748224	8.996650564668571e-06
ytar	1	0.0001	0.5	20000	20000	0.2521506352350116	False	0.0011318851878892736	1.0000000000000033e-06	1131.88518788927	0.011694794260282434	2.2363430799835552e-05	116	2.6172704001285213e-06	2.2872061289065396e-06	1.1443089309050505	0.16177980096812214	
ytar	1	0.0001	0.5	100000	100000	0.94292684039101	False	1.4160741662800945e-06	1.0000000000000033e-06	1.4160741662800898	0.011689410302392953	4.141113271798015e-08	110	2.6192074279452263e-06	2.2872061289065396e-06	1.145155827820997	0.16183965607802145	0.002824062058865697
ytar	1	0.0001	0.5	300000	104886	1.0059989113360643	True	9.999632597498685e-07	1.0000000000000033e-06	0.9999632597498652	0.011689410284055837	2.9431501571950433e-08	110	2.6192081275605725e-06	2.2872061289065396e-06	1.1451561337030673	0.16183967769247976	3.799266433421027e-06
ytar	1	3e-05	0.5	20000	20000	0.2978678811341524	False	0.0037771205897064414	1.0000000000000033e-06	3777.1205897064287	0.00912567726027929	3.178169675651884e-05	154	2.448754112801007e-06	2.2872061289065396e-06	1.0706311433205629	0.15648495495736986	
ytar	1	3e-05	0.5	100000	100000	1.2484626690857112	False	0.0002362068365064474	1.0000000000000033e-06	236.20683650644662	0.009091528885069594	2.6335498954276463e-06	133	2.4385571151719763e-06	2.2872061289065396e-06	1.0661728666920782	0.15615880107031996	0.007415676006121467
ytar	1	3e-05	0.5	300000	300000	3.162756647914648	False	1.0560467199893992e-05	1.0000000000000033e-06	10.560467199893957	0.009091168638090674	2.0246426387909635e-07	131	2.43895352059965e-06	2.2872061289065396e-06	1.066346180947695	0.15617149293643992	0.0007669996073341355
