pool	subset	model	target	cell_mse	n	bias	spread	rms	median	p90
protected_unsupported	outside_gmm	core	ytar	0.07590702958912851	405	0.01033692271429806	0.29301667312143637	0.2931989473009002	0.12608702962792795	0.42870205038939624
protected_unsupported	outside_gmm	enet	ytar	0.04598549592028181	405	0.0004256097177891952	0.23335987365917735	0.23336026177963354	0.1301042486290354	0.38799116130231526
protected_unsupported	outside_gmm	beam	ytar	0.05553927004185635	405	0.0027130520939176025	0.2488373658311627	0.24885215547681358	0.13059602652879393	0.40677826941256395
protected_unsupported	outside_gmm	old	yptar	6.877471950633652	405	-0.43796440287681865	2.579104627665216	2.6160262801874485	1.4143418260579281	4.262130764917066
protected_unsupported	outside_gmm	gmm	yptar	6.571562340981006	405	0.03323840160049791	2.4659909658433703	2.4662149612233875	1.272285702233325	3.926060418908772
protected_unsupported	outside_gmm	core	yptar	7.513032312168251	405	-0.3246202720308498	2.6857561478657668	2.7053030157104665	1.2371077785997726	3.886491979996978
protected_unsupported	outside_gmm	enet	yptar	7.242474155961195	405	-0.07961194204805523	2.6165272439905483	2.6177381228574865	1.2125004169525784	3.8889324250850046
protected_unsupported	outside_gmm	beam	yptar	6.707067578564978	405	-0.11336921062486613	2.4773480697909833	2.4799407325206015	1.2086632187664776	3.767604337494223
protected_unsupported	outside_gmm	old	ztar	0.8601962932129712	405	0.1803240375793214	1.0589792196905383	1.0742223914373086	0.6160857422701627	1.774965000719534
protected_unsupported	outside_gmm	gmm	ztar	0.7694547889717427	405	-0.013674424507310637	0.9495860083520954	0.9496844618838787	0.6196424302619796	1.5873886431764939
protected_unsupported	outside_gmm	core	ztar	1.4740750605029387	405	0.049238763594981014	1.265477778094129	1.2664353369558259	0.5308750917625827	1.8188106711934184
protected_unsupported	outside_gmm	enet	ztar	0.8728272463023126	405	0.010176602030251987	1.012083958107838	1.0121351201732454	0.5747678818652477	1.6460440006377612
protected_unsupported	outside_gmm	beam	ztar	1.145677833051479	405	0.028583645335271444	1.1115497330030446	1.1119171883372394	0.5617342208399796	1.8240474492509897
surplus_core	all	old	xptar	3.093474578796733	241978	-0.21358205842825034	1.4661323351805733	1.4816076808468863	1.0019452792909225	2.3839511864962204
surplus_core	all	gmm	xptar	2.803316049102989	241978	0.29284668671762526	1.4691404071249952	1.4980429625911558	1.0078355947787474	2.418124487500815
surplus_core	all	core	xptar	2.5812112018240465	241978	0.3661267116832095	1.42528505345878	1.471559123046355	1.0052095010905258	2.3959327109877337
surplus_core	all	enet	xptar	2.8241065924590543	241978	0.3749646093479378	1.482635661160446	1.5293158476940347	1.0385903239296495	2.487756464400625
surplus_core	all	beam	xptar	2.6017757350645834	241978	0.36848163857347155	1.4311811067263052	1.4778559057689362	1.009550212882862	2.4020951941752706
surplus_core	all	old	ytar	0.026073055829381565	241978	0.025814990950930636	0.13527198245686536	0.1377131910733577	0.09111962284775026	0.2216672484419529
surplus_core	all	gmm	ytar	0.023318702453758892	241978	0.008615524095876155	0.13359979066708663	0.13387729950120741	0.0897228652137635	0.2183421654718556
