pool	subset	target	model	reference	comparison	metric	value	reference_value	change	percent_change
protected_core	all	xptar	beam	old	starting	median	1.0144351565591434	1.02912935086958	-0.014694194310436615	-1.4278277359420888
protected_core	all	xptar	beam	old	starting	p90	2.4289194497246585	2.4961156636191446	-0.06719621389448616	-2.6920312577606187
protected_core	all	xptar	beam	old	starting	cell_mse	2.603876009651588	3.373790993563093	-0.7699149839115051	-22.820470662837078
protected_core	all	xptar	beam	enet	previous	bias	0.2820162027938392	0.28751865878279376	-0.005502455988954547	
protected_core	all	xptar	beam	enet	previous	spread	1.4687981326689215	1.5269675305938544	-0.05816939792493292	-3.8094718295882957
protected_core	all	xptar	beam	enet	previous	rms	1.4956273242923743	1.5538007654252686	-0.058173441132894244	-3.743944682442757
protected_core	all	xptar	beam	enet	previous	median	1.0144351565591434	1.0460635350330283	-0.03162837847388489	-3.0235618979765233
protected_core	all	xptar	beam	enet	previous	p90	2.4289194497246585	2.5227819829875355	-0.09386253326287708	-3.7205963058180247
protected_core	all	xptar	beam	enet	previous	cell_mse	2.603876009651588	2.8583802760571704	-0.2545042664055823	-8.903793121489201
protected_core	all	ytar	old	old	starting	bias	0.02529138223439099	0.02529138223439099	0.0	
protected_core	all	ytar	old	old	starting	spread	0.1405534325473497	0.1405534325473497	0.0	0.0
protected_core	all	ytar	old	old	starting	rms	0.1428107888647369	0.1428107888647369	0.0	0.0
protected_core	all	ytar	old	old	starting	median	0.09175127166598465	0.09175127166598465	0.0	0.0
protected_core	all	ytar	old	old	starting	p90	0.22864526455363657	0.22864526455363657	0.0	0.0
protected_core	all	ytar	old	old	starting	cell_mse	0.026257739960487275	0.026257739960487275	0.0	0.0
protected_core	all	ytar	gmm	old	starting	bias	0.005751829682296238	0.02529138223439099	-0.019539552552094754	
protected_core	all	ytar	gmm	old	starting	spread	0.13713996565461775	0.1405534325473497	-0.003413466892731948	-2.428590202933689
protected_core	all	ytar	gmm	old	starting	rms	0.13726053228967122	0.1428107888647369	-0.005550256575065665	-3.886440666834068
protected_core	all	ytar	gmm	old	starting	median	0.09057523895841445	0.09175127166598465	-0.0011760327075702043	-1.2817617524163438
protected_core	all	ytar	gmm	old	starting	p90	0.2237816182319495	0.22864526455363657	-0.004863646321687065	-2.1271581246967486
protected_core	all	ytar	gmm	old	starting	cell_mse	0.023300889257829888	0.026257739960487275	-0.0029568507026573876	-11.260872821144796
protected_core	all	ytar	gmm	old	previous	bias	0.005751829682296238	0.02529138223439099	-0.019539552552094754	
protected_core	all	ytar	gmm	old	previous	spread	0.13713996565461775	0.1405534325473497	-0.003413466892731948	-2.428590202933689
protected_core	all	ytar	gmm	old	previous	rms	0.13726053228967122	0.1428107888647369	-0.005550256575065665	-3.886440666834068
protected_core	all	ytar	gmm	old	previous	median	0.09057523895841445	0.09175127166598465	-0.0011760327075702043	-1.2817617524163438
protected_core	all	ytar	gmm	old	previous	p90	0.2237816182319495	0.22864526455363657	-0.004863646321687065	-2.1271581246967486
protected_core	all	ytar	gmm	old	previous	cell_mse	0.023300889257829888	0.026257739960487275	-0.0029568507026573876	-11.260872821144796
protected_core	all	ytar	core	old	starting	bias	0.01064335969872493	0.02529138223439099	-0.01464802253566606	
protected_core	all	ytar	core	old	starting	spread	0.13540186064109908	0.1405534325473497	-0.005151571906250624	-3.6652053335767265
protected_core	all	ytar	core	old	starting	rms	0.13581953088841114	0.1428107888647369	-0.006991257976325743	-4.895469055175871
protected_core	all	ytar	core	old	starting	median	0.08942463513343275	0.09175127166598465	-0.0023266365325518984	-2.535808485599944
protected_core	all	ytar	core	old	starting	p90	0.22198891866792247	0.22864526455363657	-0.006656345885714093	-2.911210909488404
