rungroup	entry	reason	protected	quality	old_sample	sample
rg01_theta12p490_foil0	550808	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	556448	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	558349	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	567543	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	568324	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	570766	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	571668	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	573848	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	586656	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	589044	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	589685	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	591061	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	594207	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	595292	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	597276	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	597796	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	599927	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	603400	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	605069	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	606159	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	611082	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	612790	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	619987	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	624905	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	626700	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	627470	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	628052	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	628345	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	629244	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	630060	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	633096	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	639500	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	641212	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	642176	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	644664	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	647269	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	651138	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	651741	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	651988	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	652064	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	652287	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	653222	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	655990	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	658505	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	669451	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	670951	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	672086	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	680665	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	682712	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	687623	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	690732	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	691326	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	693000	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	694421	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	695182	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	709475	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	711998	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	712400	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	713543	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	717578	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	720974	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	725475	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	730990	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	733660	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	734293	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	736108	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	737115	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	738196	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	738426	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	740298	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	740688	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	741235	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	743373	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	748601	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	751169	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	762256	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	762669	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	762678	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	764051	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	764629	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	767617	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	771615	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	771932	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	772241	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	776620	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	779342	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	779890	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	780187	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	783180	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	783833	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	784831	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	787403	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	788868	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	792143	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	800386	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	801046	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	803456	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	804425	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	804764	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	805250	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	805478	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	808747	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	809459	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	809613	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	814293	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	817011	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	820809	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	820996	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	821030	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	821380	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	821442	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	822701	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	823427	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	824058	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	826171	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	827916	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	834415	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	842577	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	842944	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	843240	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	843915	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	860868	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	874171	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	874425	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	876485	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	876593	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	878005	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	879164	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	879578	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	880434	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	882680	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	891303	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	892116	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	892507	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	894047	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	900160	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	904387	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	912655	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	915121	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	915704	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	915746	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	917168	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	922916	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	931112	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	931375	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	932311	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	934540	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	942689	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	947148	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	948170	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	955685	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	958155	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	960040	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	962131	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	963590	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	963854	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	965651	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	977933	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	980419	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	980791	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	982010	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	983943	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	992173	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	993427	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	994257	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	995511	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	997360	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	998176	geometry_blocked	True	0	2	2
rg01_theta12p490_foil0	1003491	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	1006673	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	1007646	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	1007660	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	1008059	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	1009193	geometry_blocked	False	0	0	0
rg01_theta12p490_foil0	1011267	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	9278	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	9712	geometry_blocked	True	0	2	2
rg02_theta15p195_foil0	13136	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	14387	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	16658	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	16777	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	32231	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	34545	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	39882	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	42428	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	43423	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	46683	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	47060	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	49633	geometry_blocked	True	0	2	2
rg02_theta15p195_foil0	55545	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	61732	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	62814	geometry_blocked	True	0	2	2
rg02_theta15p195_foil0	65411	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	68765	geometry_blocked	True	0	2	2
rg02_theta15p195_foil0	69483	geometry_blocked	True	0	2	2
rg02_theta15p195_foil0	82219	geometry_blocked	False	0	0	0
rg02_theta15p195_foil0	83466	geometry_blocked	True	0	2	2
rg02_theta15p195_foil0	97906	geometry_blocked	False	0	0	0
