rungroup	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel	original_core	available	excluded_core	blocked	total	holdout	holdout_core	unsupported	noncore_development	geometry_excluded_development	pool	q_hole	hole_cap	capacity	hole_bound	population	quota	surplus	qa_low	hole_loss	parent_loss	actual_selected
rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	4	0	1	367	367	0	False	580	116	87	0	97	0	rg01_theta12p490_foil0	247.0	370	367	False	open_populated	30	337	False	0	337	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	5	0	1	465	465	0	False	720	144	113	0	111	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	435	False	95	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	6	0	1	412	412	0	False	637	128	104	0	97	0	rg01_theta12p490_foil0	247.0	370	370	True	open_populated	30	382	False	42	340	30
rg01_theta12p490_foil0	0.0	-8.0	-5.0	8	7	0	1	0	0	0	False	1	1	0	1	0	0	rg01_theta12p490_foil0	247.0	370	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-5.0	0.0	0	1	0	2	0	0	0	False	1	1	0	1	0	0	rg01_theta12p490_foil0	401.0	601	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-5.0	0.0	0	2	0	2	240	240	0	False	374	75	54	0	59	0	rg01_theta12p490_foil0	401.0	601	240	False	open_populated	27	213	False	0	213	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	0	3	0	2	412	412	0	False	629	126	99	0	91	0	rg01_theta12p490_foil0	401.0	601	412	False	open_populated	27	385	False	0	385	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	0	4	0	2	557	557	0	False	895	179	128	0	159	0	rg01_theta12p490_foil0	401.0	601	557	False	open_populated	27	530	False	0	530	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	0	5	0	2	701	701	0	False	1126	226	171	0	199	0	rg01_theta12p490_foil0	401.0	601	601	True	open_populated	27	674	False	100	574	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	0	6	0	2	324	324	0	False	521	105	79	0	92	0	rg01_theta12p490_foil0	401.0	601	324	False	open_populated	27	297	False	0	297	27
rg01_theta12p490_foil0	0.0	-5.0	0.0	1	1	0	2	0	0	0	False	2	1	0	2	1	0	rg01_theta12p490_foil0	401.0	601	0	False	observed_no_eligible_core	0	0	False	0	0	0
rg01_theta12p490_foil0	0.0	-5.0	0.0	1	2	0	2	356	356	0	False	579	116	96	0	107	0	rg01_theta12p490_foil0	401.0	601	356	False	open_populated	27	329	False	0	329	27
