rungroup	entry	zfoil	delta_low	delta_high	xscol	yscol	foil	ndel
rg07_theta12p495_foilpm8	61472	-8.0	-10.0	-8.0	2	5	0	0
rg07_theta12p495_foilpm8	61490	8.0	-10.0	-8.0	4	4	1	0
rg07_theta12p495_foilpm8	61508	8.0	-8.0	-5.0	4	5	1	1
rg07_theta12p495_foilpm8	61520	8.0	-8.0	-5.0	3	4	1	1
rg07_theta12p495_foilpm8	61531	8.0	-5.0	0.0	3	5	1	2
rg07_theta12p495_foilpm8	61535	-8.0	0.0	5.0	5	1	0	3
rg07_theta12p495_foilpm8	61564	-8.0	5.0	10.0	5	4	0	4
rg07_theta12p495_foilpm8	61566	8.0	-10.0	-8.0	2	2	1	0
rg07_theta12p495_foilpm8	61580	-8.0	5.0	10.0	1	4	0	4
rg07_theta12p495_foilpm8	61612	8.0	-5.0	0.0	3	2	1	2
rg07_theta12p495_foilpm8	61674	-8.0	5.0	10.0	4	2	0	4
rg07_theta12p495_foilpm8	61692	8.0	-5.0	0.0	4	5	1	2
