rungroup	foil	ndel	xscol	yscol	total	fit	holdout	holdout_core	surplus	unsupported	excluded_core
rg01_theta12p490_foil0	0	3	0	3	540	28	108	86	310	0	0
rg01_theta12p490_foil0	0	3	0	4	691	29	139	101	411	0	0
rg01_theta12p490_foil0	0	3	0	5	1023	29	205	148	601	0	0
rg01_theta12p490_foil0	0	3	0	6	208	29	42	28	95	0	0
rg01_theta12p490_foil0	0	3	0	7	1	0	1	0	0	1	0
rg01_theta12p490_foil0	0	3	1	1	3	0	1	0	0	3	0
rg01_theta12p490_foil0	0	3	1	2	394	29	79	67	213	0	0
rg01_theta12p490_foil0	0	3	1	3	718	29	144	118	412	0	0
rg01_theta12p490_foil0	0	3	1	4	1043	28	209	172	618	0	0
rg01_theta12p490_foil0	0	3	1	5	1464	28	293	228	849	0	0
rg01_theta12p490_foil0	0	3	1	6	1905	29	381	282	1137	0	0
rg01_theta12p490_foil0	0	3	1	7	15	0	3	0	0	15	0
rg01_theta12p490_foil0	0	3	2	1	137	28	28	20	58	0	0
rg01_theta12p490_foil0	0	3	2	2	555	28	111	89	308	0	0
rg01_theta12p490_foil0	0	3	2	3	19	0	4	0	0	19	0
rg01_theta12p490_foil0	0	3	2	4	1346	29	270	213	812	0	0
rg01_theta12p490_foil0	0	3	2	5	1799	29	360	287	1093	0	0
rg01_theta12p490_foil0	0	3	2	6	2397	29	480	370	1478	0	0
rg01_theta12p490_foil0	0	3	2	7	790	28	158	127	480	0	0
rg01_theta12p490_foil0	0	3	3	1	326	29	66	53	167	0	0
rg01_theta12p490_foil0	0	3	3	2	689	28	138	116	407	0	0
rg01_theta12p490_foil0	0	3	3	3	1081	29	217	178	637	0	0
rg01_theta12p490_foil0	0	3	3	4	1577	29	316	247	946	0	0
rg01_theta12p490_foil0	0	3	3	5	2181	28	437	342	1324	0	0
rg01_theta12p490_foil0	0	3	3	6	2965	28	593	455	1827	0	0
rg01_theta12p490_foil0	0	3	3	7	1843	28	369	273	1135	0	0
rg01_theta12p490_foil0	0	3	4	1	325	29	65	47	172	0	0
rg01_theta12p490_foil0	0	3	4	2	737	29	148	114	442	0	0
rg01_theta12p490_foil0	0	3	4	3	1209	29	242	182	722	0	0
rg01_theta12p490_foil0	0	3	4	4	483	28	97	77	267	0	0
rg01_theta12p490_foil0	0	3	4	5	2385	28	477	381	1464	0	0
rg01_theta12p490_foil0	0	3	4	6	3172	29	635	485	1906	0	0
rg01_theta12p490_foil0	0	3	4	7	2180	29	436	350	1368	0	0
rg01_theta12p490_foil0	0	3	5	1	234	28	47	36	107	0	0
rg01_theta12p490_foil0	0	3	5	2	659	29	132	94	371	0	0
rg01_theta12p490_foil0	0	3	5	3	1007	29	202	159	575	0	0
rg01_theta12p490_foil0	0	3	5	4	1541	29	309	241	936	0	0
rg01_theta12p490_foil0	0	3	5	5	37	0	8	0	0	37	0
rg01_theta12p490_foil0	0	3	5	6	3040	29	608	478	1860	0	0
rg01_theta12p490_foil0	0	3	5	7	1594	29	319	259	977	0	0
rg01_theta12p490_foil0	0	3	6	1	117	28	24	20	48	0	0
rg01_theta12p490_foil0	0	3	6	2	617	28	124	108	364	0	0
rg01_theta12p490_foil0	0	3	6	3	887	29	178	144	527	0	0
rg01_theta12p490_foil0	0	3	6	4	1315	28	263	211	790	0	0
rg01_theta12p490_foil0	0	3	6	5	1814	28	363	289	1092	0	0
rg01_theta12p490_foil0	0	3	6	6	2502	28	501	393	1503	0	0
rg01_theta12p490_foil0	0	3	6	7	680	28	136	111	419	0	0
