method	foil_z_cm	N	target	units	training_count	heldout_count	training_residual_rms	heldout_residual_rms	heldout_change_from_reference_percent
current_XTX	-8.0	176	xptar	mrad	44310	36160	2.2612858910684066	2.2095060039654477	-0.84813315406288
current_XTX	-8.0	176	ytar	cm	44310	36160	0.1562272643235543	0.15305146314268636	-0.6560186499071752
current_XTX	-8.0	176	yptar	mrad	44310	36160	1.1151742099405342	1.0863583961964816	-0.27700255377778316
current_XTX	-8.0	177	xptar	mrad	44310	36160	2.26126563716438	2.209752326333661	-0.837079406025798
current_XTX	-8.0	177	ytar	cm	44310	36160	0.1562731287037554	0.1531039060652283	-0.6219785393981159
current_XTX	-8.0	177	yptar	mrad	44310	36160	1.1149368966542048	1.0860642261817663	-0.30400608753690106
current_XTX	-8.0	178	xptar	mrad	44310	36160	2.261349121646184	2.2094011428798797	-0.852838808799683
current_XTX	-8.0	178	ytar	cm	44310	36160	0.15618835790374996	0.15300380344224773	-0.6869540248085726
current_XTX	-8.0	178	yptar	mrad	44310	36160	1.1149850113363124	1.0861165243352975	-0.2992053434645148
current_XTX	-8.0	179	xptar	mrad	44310	36160	2.261166654480391	2.20968112451125	-0.8402745969880332
current_XTX	-8.0	179	ytar	cm	44310	36160	0.15628382821350253	0.1531217079914686	-0.610423509527136
current_XTX	-8.0	179	yptar	mrad	44310	36160	1.1147407894191619	1.085793238446467	-0.3288815884119667
current_XTX	-8.0	180	xptar	mrad	44310	36160	2.2613866480401787	2.2096532020701694	-0.8415276201321542
current_XTX	-8.0	180	ytar	cm	44310	36160	0.15617227686433388	0.1529857250820196	-0.6986884848683816
current_XTX	-8.0	180	yptar	mrad	44310	36160	1.1150718161426396	1.08621884869374	-0.2898124103667632
current_XTX	-8.0	181	xptar	mrad	44310	36160	2.2612387371808382	2.209626873017376	-0.8427091397714137
current_XTX	-8.0	181	ytar	cm	44310	36160	0.15619771391832826	0.1530152932088648	-0.6794961466734306
current_XTX	-8.0	181	yptar	mrad	44310	36160	1.11488422584448	1.0859520878080455	-0.3142999047480055
current_XTX	-8.0	182	xptar	mrad	44310	36160	2.260945550614884	2.209485617575093	-0.8490479959588737
current_XTX	-8.0	182	ytar	cm	44310	36160	0.15622669898643698	0.15305758399457822	-0.65204567386562
current_XTX	-8.0	182	yptar	mrad	44310	36160	1.1150054558957685	1.0861342595181651	-0.29757733046069657
current_XTX	-8.0	183	xptar	mrad	44310	36160	2.2612764565172983	2.2095401658512697	-0.8466001350314056
current_XTX	-8.0	183	ytar	cm	44310	36160	0.156181397826642	0.15300279435978073	-0.6876090088755338
current_XTX	-8.0	183	yptar	mrad	44310	36160	1.1149665556414543	1.0860846764602536	-0.30212884051005195
current_XTX	-8.0	184	xptar	mrad	44310	36160	2.261187563554595	2.2095765643393244	-0.8449667481863266
current_XTX	-8.0	184	ytar	cm	44310	36160	0.1562577218112611	0.15308562181521265	-0.6338466402006637
