setting	construction	foil_lab_z_cm	lab_X_cm	lab_Y_cm	xscol	yscol	vertex_x_cm	vertex_y_cm	vertex_z_cm	xt_cm	yt_cm	p_slope	q_slope	sieve_x_cm	sieve_y_cm	dx_cm	dy_cm	dx_mm	dy_mm	setting_offset_x_cm	setting_offset_y_cm	dx_after_offset_cm	dy_after_offset_cm	dx_after_offset_mm	dy_after_offset_mm	dxt_cm	dyt_cm	dp_slope	dq_slope	dp_mrad	dq_mrad
HMS_12p490_code_defaults	B_fit_target	-8.0	0.2	0.0	0	0	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.5996802579712099	-1.8038086634856376	-0.05778943901207613	-0.02555533751827616	-10.308306012	-6.097105366556033	-0.14830601199999904	-0.0011053665560325499	-1.4830601199999904	-0.011053665560325499	-0.14830601200000001	0.0	9.71445146547012e-16	-0.0011053665560325499	9.71445146547012e-15	-0.011053665560325499	-0.00423561075275003	-4.936747905737171e-05	-0.000857561912186014	-6.28570879151677e-06	-0.8547495250601361	-0.006281607437961384
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.2	0.0	0	0	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	-0.5929821247464575	-1.8037592960065802	-0.056931877099890116	-0.025549051809484642	-10.157537477527997	-6.096	0.0024625224720029593	0.0	0.024625224720029593	0.0	0.0	0.0	0.0024625224720029593	0.0	0.024625224720029593	0.0	0.002462522472002404	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	0.2	0.0	8	8	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	0.312079801544097	-1.259244626749046	0.05861857260985657	0.04378121801636337	10.160000000000002	6.096	1.7763568394002505e-15	0.0	1.7763568394002505e-14	0.0	0.0	0.0	1.7763568394002505e-15	0.0	1.7763568394002505e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	0.2	0.0	8	8	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	0.30306823397120985	-1.2591600299358399	0.05778943901207613	0.0437919892962152	10.011693988	6.0978941718283135	-0.14830601200000082	0.001894171828313418	-1.4830601200000082	0.01894171828313418	-0.14830601200000001	0.0	-8.049116928532385e-16	0.001894171828313418	-8.049116928532385e-15	0.01894171828313418	-0.009011567572887125	8.459681320616141e-05	-0.000829133597780439	1.0771279851828908e-05	-0.8263341736007151	0.010750667954487203
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	0.2	0.0	8	8	-0.14830601200000001	-1.6030989851375972	-7.853923987679705	0.3095443230093702	-1.259244626749046	0.05861857260985657	0.04378121801636337	10.157464521465275	6.096	-0.002535478534724689	0.0	-0.02535478534724689	0.0	0.0	0.0	-0.002535478534724689	0.0	-0.02535478534724689	0.0	-0.0025354785347267983	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	-0.2	-0.2	4	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.049409555916160613	-1.9055309895646906	-0.00029410449950095606	0.011342446366456491	-6.938893903907228e-18	0.0	-6.938893903907228e-18	0.0	-6.938893903907228e-17	0.0	0.0	0.0	-6.938893903907228e-18	0.0	-6.938893903907228e-17	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	-0.2	-0.2	4	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.051693987999999996	-1.905552664748368	0.0	0.011339655839615239	0.051693987999999996	-0.0004904836930079703	0.051693987999999996	-0.0004904836930079703	0.51693988	-0.0049048369300797034	-0.14830601200000001	0.0	0.2	-0.0004904836930079703	2.0	-0.0049048369300797034	0.002284432083839383	-2.1675183677460907e-05	0.00029410449950095606	-2.7905268412519585e-06	0.2941044910211928	-0.0027901679714066596
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	-0.2	-0.2	4	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.04939683476632276	-1.9055309895646906	-0.00029410449950095606	0.011342446366456491	-1.272114983785766e-05	0.0	-1.272114983785766e-05	0.0	-0.0001272114983785766	0.0	0.0	0.0	-1.272114983785766e-05	0.0	-0.0001272114983785766	0.0	-1.272114983785072e-05	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	-0.2	-0.2	2	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	-0.17508299021713533	-1.9055309895646906	-0.02919593458204086	0.011342446366456491	-5.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	-0.2	-0.2	2	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	-0.17399313498560495	-1.905552664748368	-0.028894719506038065	0.011339655839615239	-5.028306012	-0.0004904836930079703	0.051693988000000246	-0.0004904836930079703	0.5169398800000025	-0.0049048369300797034	-0.14830601200000001	0.0	0.20000000000000026	-0.0004904836930079703	2.0000000000000027	-0.0049048369300797034	0.0010898552315303789	-2.1675183677460907e-05	0.00030121507600279485	-2.7905268412519585e-06	0.30096117355218194	-0.0027901679714066596
HMS_12p490_code_defaults	C_HCANA_coordinate_step	-8.0	-0.2	-0.2	2	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	-0.17634582658687678	-1.9055309895646906	-0.02919593458204086	0.011342446366456491	-5.081262836369741	0.0	-0.001262836369741116	0.0	-0.01262836369741116	0.0	0.0	0.0	-0.001262836369741116	0.0	-0.01262836369741116	0.0	-0.001262836369741449	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	A_endpoint	-8.0	-0.2	-0.2	6	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.27390210204945653	-1.9055309895646906	0.028607725583038947	0.011342446366456491	5.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMS_12p490_code_defaults	B_fit_target	-8.0	-0.2	-0.2	6	4	0.051693987999999996	-1.9936324923731383	-7.767416301741936	0.2773811109856049	-1.905552664748368	0.028894719506038065	0.011339655839615239	5.131693987999999	-0.0004904836930079703	0.05169398799999936	-0.0004904836930079703	0.5169398799999936	-0.0049048369300797034	-0.14830601200000001	0.0	0.19999999999999937	-0.0004904836930079703	1.9999999999999938	-0.0049048369300797034	0.0034790089361483867	-2.1675183677460907e-05	0.0002869939229991174	-2.7905268412519585e-06	0.2867568783967017	-0.0027901679714066596
