rungroup	zfoil_cm	population	low_cm	high_cm	count
rg01_theta12p490_foil0	0.0	shoulders	0.010087836233341085	0.017898343195636768	584
rg01_theta12p490_foil0	0.0	shoulders	0.017898343195636768	0.02570885015793245	573
rg01_theta12p490_foil0	0.0	shoulders	0.02570885015793245	0.03351935712022802	479
rg01_theta12p490_foil0	0.0	shoulders	0.03351935712022802	0.041329864082523704	436
rg01_theta12p490_foil0	0.0	shoulders	0.041329864082523704	0.049140371044819275	402
rg01_theta12p490_foil0	0.0	shoulders	0.049140371044819275	0.05695087800711496	326
rg01_theta12p490_foil0	0.0	shoulders	0.05695087800711496	0.06476138496941064	332
rg01_theta12p490_foil0	0.0	shoulders	0.06476138496941064	0.07257189193170621	307
rg01_theta12p490_foil0	0.0	shoulders	0.07257189193170621	0.0803823988940019	308
rg01_theta12p490_foil0	0.0	shoulders	0.0803823988940019	0.08819290585629758	306
rg01_theta12p490_foil0	0.0	shoulders	0.08819290585629758	0.09600341281859315	240
rg01_theta12p490_foil0	0.0	shoulders	0.09600341281859315	0.10381391978088883	194
rg01_theta12p490_foil0	0.0	shoulders	0.10381391978088883	0.11162442674318451	153
rg01_theta12p490_foil0	0.0	shoulders	0.11162442674318451	0.11943493370548008	174
rg01_theta12p490_foil0	0.0	shoulders	0.11943493370548008	0.12724544066777577	139
rg01_theta12p490_foil0	0.0	shoulders	0.12724544066777577	0.13505594763007145	116
rg01_theta12p490_foil0	0.0	shoulders	0.13505594763007145	0.14286645459236702	91
rg01_theta12p490_foil0	0.0	shoulders	0.14286645459236702	0.1506769615546627	100
rg01_theta12p490_foil0	0.0	shoulders	0.1506769615546627	0.15848746851695839	66
rg01_theta12p490_foil0	0.0	shoulders	0.15848746851695839	0.16629797547925396	61
rg01_theta12p490_foil0	0.0	shoulders	0.16629797547925396	0.17410848244154964	45
rg01_theta12p490_foil0	0.0	shoulders	0.17410848244154964	0.18191898940384532	39
rg01_theta12p490_foil0	0.0	shoulders	0.18191898940384532	0.1897294963661409	26
rg01_theta12p490_foil0	0.0	shoulders	0.1897294963661409	0.19754000332843658	1
rg01_theta12p490_foil0	0.0	shoulders	0.19754000332843658	0.2053505102907323	0
rg01_theta12p490_foil0	0.0	unsupported	-0.5757001859388322	-0.5678896789765365	0
