rungroup	foil	ndel	xscol	yscol	available	training
rg02_theta15p195_foil0	0	2	0	4	93	70
rg02_theta15p195_foil0	0	2	0	5	133	75
rg02_theta15p195_foil0	0	2	0	6	33	17
rg02_theta15p195_foil0	0	2	1	2	43	30
rg02_theta15p195_foil0	0	2	1	3	83	72
rg02_theta15p195_foil0	0	2	1	4	142	108
rg02_theta15p195_foil0	0	2	1	5	201	114
rg02_theta15p195_foil0	0	2	1	6	215	103
rg02_theta15p195_foil0	0	2	2	2	62	47
rg02_theta15p195_foil0	0	2	2	4	188	146
rg02_theta15p195_foil0	0	2	2	5	268	151
rg02_theta15p195_foil0	0	2	2	6	319	125
rg02_theta15p195_foil0	0	2	2	7	17	9
rg02_theta15p195_foil0	0	2	3	1	10	7
rg02_theta15p195_foil0	0	2	3	2	69	58
rg02_theta15p195_foil0	0	2	3	3	143	120
rg02_theta15p195_foil0	0	2	3	4	215	168
rg02_theta15p195_foil0	0	2	3	5	293	167
rg02_theta15p195_foil0	0	2	3	6	414	153
rg02_theta15p195_foil0	0	2	3	7	92	68
rg02_theta15p195_foil0	0	2	4	1	17	11
rg02_theta15p195_foil0	0	2	4	2	72	55
rg02_theta15p195_foil0	0	2	4	3	143	101
rg02_theta15p195_foil0	0	2	4	4	66	52
rg02_theta15p195_foil0	0	2	4	5	357	183
rg02_theta15p195_foil0	0	2	4	6	437	162
rg02_theta15p195_foil0	0	2	4	7	103	81
rg02_theta15p195_foil0	0	2	5	1	20	16
rg02_theta15p195_foil0	0	2	5	2	85	69
rg02_theta15p195_foil0	0	2	5	3	122	97
rg02_theta15p195_foil0	0	2	5	4	221	178
rg02_theta15p195_foil0	0	2	5	6	418	166
rg02_theta15p195_foil0	0	2	5	7	64	52
rg02_theta15p195_foil0	0	2	6	1	16	9
rg02_theta15p195_foil0	0	2	6	2	72	59
rg02_theta15p195_foil0	0	2	6	3	105	80
rg02_theta15p195_foil0	0	2	6	4	178	138
rg02_theta15p195_foil0	0	2	6	5	231	127
rg02_theta15p195_foil0	0	2	6	6	366	144
rg02_theta15p195_foil0	0	2	7	2	36	26
rg02_theta15p195_foil0	0	2	7	3	80	58
rg02_theta15p195_foil0	0	2	7	4	121	90
rg02_theta15p195_foil0	0	2	7	5	198	102
rg02_theta15p195_foil0	0	2	7	6	254	109
rg02_theta15p195_foil0	0	2	8	2	28	25
rg02_theta15p195_foil0	0	2	8	3	71	63
rg02_theta15p195_foil0	0	2	8	4	67	50
rg02_theta15p195_foil0	0	2	8	5	132	81
rg02_theta15p195_foil0	0	2	8	6	57	21
rg02_theta15p195_foil0	0	3	0	2	10	8
rg02_theta15p195_foil0	0	3	0	3	29	24
rg02_theta15p195_foil0	0	3	0	4	51	34
rg02_theta15p195_foil0	0	3	0	5	87	69
rg02_theta15p195_foil0	0	3	1	2	18	14
rg02_theta15p195_foil0	0	3	1	3	36	28
rg02_theta15p195_foil0	0	3	1	4	78	58
rg02_theta15p195_foil0	0	3	1	5	91	73
rg02_theta15p195_foil0	0	3	1	6	187	102
rg02_theta15p195_foil0	0	3	2	1	1	1
rg02_theta15p195_foil0	0	3	2	2	32	27
rg02_theta15p195_foil0	0	3	2	4	97	89
rg02_theta15p195_foil0	0	3	2	5	157	125
rg02_theta15p195_foil0	0	3	2	6	257	164
rg02_theta15p195_foil0	0	3	2	7	67	52
rg02_theta15p195_foil0	0	3	3	1	15	12
rg02_theta15p195_foil0	0	3	3	2	45	35
