pool	level	zfoil	ndel	rungroup	xscol	yscol	model	target	n	qa_low	bias	rms	p95
training	hole	-8.0	0	rg03_theta12p490_foilpm8	0	5	svd	ztar	13	False	0.959528190967823	1.192905404937519	1.8357698751798444
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	enet	xptar	6	True	1.228577656010676	1.8482789395740467	3.3643681889441646
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	enet	ytar	6	True	-0.33085046587643974	0.4548591794522349	0.6664159198771678
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	enet	yptar	6	True	1.8116250028127767	2.208534628299825	3.066523131487748
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	enet	ztar	6	True	-1.5122147818045963	2.0678171158555436	3.027303948955678
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	svd	xptar	6	True	2.9747637510265137	3.2257687705530396	4.929750183731369
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	svd	ytar	6	True	-0.037770906380247	0.24383832033062647	0.32691007446409837
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	svd	yptar	6	True	0.6611818581450295	1.2618067526533325	1.736408598470417
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	1	svd	ztar	6	True	-0.191174574557864	1.09738196022814	1.4572097260589565
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	enet	xptar	34	False	-4.274821813448558	5.177588519561431	9.026705852640966
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	enet	ytar	34	False	0.1275198599614228	0.20639596527324952	0.4050220277327145
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	enet	yptar	34	False	-0.2328197962467279	1.2231602484962212	2.5668526128836375
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	enet	ztar	34	False	0.599769044033918	0.9906997571712457	1.9691118883346004
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	svd	xptar	34	False	-1.9565158424702105	3.580641563083957	6.882782144382599
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	svd	ytar	34	False	-0.022700752034162813	0.18251767283846643	0.2999221135273152
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	svd	yptar	34	False	0.19912411992294854	1.2551315587290435	2.5367923665858423
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	3	svd	ztar	34	False	-0.11772963881601045	0.8903994940397034	1.4987765098524635
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	enet	xptar	34	False	-1.3982393204127037	3.329690520234704	6.8963091392863545
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	enet	ytar	34	False	0.48992903673192006	0.5195151650785564	0.7147939619905618
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	enet	yptar	34	False	-1.509922732071555	1.9916907560508297	3.509437250793049
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	enet	ztar	34	False	2.417768400319899	2.5684184484745907	3.517618013329773
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	xptar	34	False	0.514912350733415	3.014505612253276	5.216163842554041
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	ytar	34	False	0.2095576554961621	0.3032331585412946	0.4720198587116373
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	yptar	34	False	-0.7819690264014991	1.582291631789165	2.8533373772263175
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	4	svd	ztar	34	False	1.0383332470984072	1.517824254222674	2.3667930560545423
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	enet	xptar	34	False	-0.9508253074211709	2.6409800733728632	4.954512436752727
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	enet	ytar	34	False	0.5135462170745284	0.5366454794059541	0.6917526424824295
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	enet	yptar	34	False	-1.2258238828379164	1.5234545417821879	2.4966672511327905
training	hole	-8.0	0	rg03_theta12p490_foilpm8	1	5	enet	ztar	34	False	2.634170537020097	2.755554292985483	3.550558054507742
