target	fold	l1	alpha	mse	active	converged	dual_gap
xptar	1	0.5	0.0001	3.894366555441742e-06	78	False	4.77779554620566e-06
ytar	1	0.5	0.0001	2.6179005549704986e-06	115	False	0.0008559000731539855
yptar	1	0.5	0.0001	1.2287185701745034e-06	75	False	9.02272461461887e-06
xptar	1	0.5	3e-05	3.3619197199656443e-06	100	False	9.176143526052618e-05
ytar	1	0.5	3e-05	2.4436537281137695e-06	142	False	0.0021784930651858225
yptar	1	0.5	3e-05	1.1992827524192748e-06	98	False	4.84252710232025e-05
xptar	1	0.5	1e-05	3.0922263428501545e-06	138	False	0.0005616620249195218
ytar	1	0.5	1e-05	2.386605683079646e-06	164	False	0.0045951243002513836
yptar	1	0.5	1e-05	1.1902788744464201e-06	131	False	0.0005417448656988322
xptar	1	0.9	0.1	0.00035123975936931893	3	True	7.146258111421914e-07
ytar	1	0.9	0.1	0.0001145602697042464	2	True	1.0299112379271284e-07
yptar	1	0.9	0.1	3.024666708675306e-05	3	True	2.9855938448516674e-07
xptar	1	0.9	0.03	6.324691092600701e-05	8	True	9.965497834331375e-07
ytar	1	0.9	0.03	3.115890543439041e-05	10	True	9.958571431483126e-07
yptar	1	0.9	0.03	1.01593324157407e-05	3	True	8.738275831224232e-07
xptar	1	0.9	0.01	1.933324387133165e-05	10	True	9.217648769020823e-07
ytar	1	0.9	0.01	1.1594697169739017e-05	17	True	9.940732177406144e-07
yptar	1	0.9	0.01	4.54400808943776e-06	12	True	9.977618715719538e-07
xptar	1	0.9	0.003	1.1807253632309912e-05	18	True	9.978101541220183e-07
ytar	1	0.9	0.003	6.789980762911666e-06	29	True	9.974079169745534e-07
yptar	1	0.9	0.003	1.951151537594471e-06	13	True	9.838579668243458e-07
xptar	1	0.9	0.001	7.192072175268997e-06	34	True	9.992934852530129e-07
ytar	1	0.9	0.001	4.320055395128986e-06	51	True	9.999514720537306e-07
yptar	1	0.9	0.001	1.5309232104398445e-06	28	True	9.990096167291446e-07
xptar	1	0.9	0.0003	5.130118024375839e-06	49	True	9.99586646885543e-07
ytar	1	0.9	0.0003	3.1034196036402306e-06	71	False	3.36711140178524e-05
yptar	1	0.9	0.0003	1.3451173241166896e-06	45	True	9.99974069249327e-07
xptar	1	0.9	0.0001	4.13493382999053e-06	68	False	6.630339456403058e-06
ytar	1	0.9	0.0001	2.5914337386566628e-06	89	False	0.0003674109933068271
yptar	1	0.9	0.0001	1.2568376860290379e-06	66	False	1.4579062814879188e-06
xptar	1	0.9	3e-05	3.545336584287738e-06	82	False	3.122736967685422e-05
ytar	1	0.9	3e-05	2.4445779566727495e-06	109	False	0.0010724964022339792
yptar	1	0.9	3e-05	1.2047218616748607e-06	79	False	1.787477141041263e-05
xptar	1	0.9	1e-05	3.1618235114971476e-06	109	False	0.00043365938818700243
