term	target	coefficient	standardized	active	fold_frequency
13100	ytar	61.09494233982673	0.009167314194537311	True	1.0
13100	yptar	-0.0	-0.0	False	0.0
04100	xptar	-0.0	-0.0	False	0.0
04100	ytar	13084.461045881524	0.25774376673412497	True	1.0
04100	yptar	-1045.7801615786907	-0.017477519744446963	True	1.0
30200	xptar	1.9455133544863858	0.020720411001791963	True	1.0
30200	ytar	-0.09887531236206173	-0.003092706331732276	True	1.0
30200	yptar	0.0	0.0	False	0.3333333333333333
21200	xptar	-0.0	-0.0	False	0.0
21200	ytar	0.0	0.0	False	0.0
21200	yptar	-0.0	-0.0	False	0.0
12200	xptar	-0.0	-0.0	False	0.0
12200	ytar	0.0	0.0	False	0.0
12200	yptar	-0.0	-0.0	False	0.3333333333333333
03200	xptar	0.0	0.0	False	0.0
03200	ytar	541.2844771209211	0.031409922845214426	True	1.0
03200	yptar	-0.0	-0.0	False	0.0
20300	xptar	-0.0	-0.0	False	0.0
20300	ytar	0.0	0.0	False	0.0
20300	yptar	-0.0	-0.0	False	0.0
11300	xptar	-0.0	-0.0	False	0.0
11300	ytar	0.0	0.0	False	0.0
11300	yptar	0.0	0.0	False	0.0
02300	xptar	-307.6573733882491	-0.023427822853431698	True	1.0
02300	ytar	0.0	0.0	False	0.0
02300	yptar	0.0	0.0	False	0.0
10400	xptar	0.0	0.0	False	0.0
10400	ytar	-0.0	-0.0	False	0.0
10400	yptar	0.0	0.0	False	0.0
01400	xptar	-18.84519777933593	-0.006082792157906776	True	1.0
01400	ytar	12.684036546392484	0.012023929686549738	True	1.0
01400	yptar	-1.3491900224845075	-0.0010850984270882654	True	0.6666666666666666
00500	xptar	3.1964808149624613	0.005431841651621444	True	1.0
00500	ytar	17.9019174906229	0.08934314075098926	True	1.0
00500	yptar	-6.346447482621037	-0.02687196497721335	True	1.0
40010	xptar	-0.0	-0.0	False	0.0
40010	ytar	37.77218644805097	0.34007878949214576	True	1.0
40010	yptar	-0.0	-0.0	False	0.6666666666666666
31010	xptar	0.0	0.0	False	0.0
31010	ytar	-0.0	-0.0	False	0.0
31010	yptar	0.0	0.0	False	0.0
22010	xptar	90.35121685195811	0.004198886712722251	True	1.0
22010	ytar	-1895.222621232489	-0.25867058686584365	True	1.0
22010	yptar	146.80778621089078	0.01699976729899586	True	1.0
13010	xptar	0.0	0.0	False	0.3333333333333333
13010	ytar	-7645.507900092296	-0.13290987777309518	True	1.0
13010	yptar	163.92637380152843	0.002417724542617576	True	0.6666666666666666
04010	xptar	0.0	0.0	False	0.0
04010	ytar	-0.0	-0.0	False	0.0
04010	yptar	0.0	0.0	False	0.0
30110	xptar	0.0	0.0	False	0.0
30110	ytar	-0.0	-0.0	False	0.0
30110	yptar	0.0	0.0	False	0.0
21110	xptar	-81.00715467425849	-0.011455329591005061	True	1.0
21110	ytar	0.0	0.0	False	0.0
21110	yptar	-0.0	-0.0	False	0.0
12110	xptar	-0.0	-0.0	False	0.0
12110	ytar	0.0	0.0	False	0.0
12110	yptar	-0.0	-0.0	False	0.0
03110	xptar	0.0	0.0	False	0.0
03110	ytar	0.0	0.0	False	0.0
03110	yptar	-0.0	-0.0	False	0.0
20210	xptar	-0.0	-0.0	False	0.0
20210	ytar	0.0	0.0	False	0.0
20210	yptar	-0.0	-0.0	False	0.0
